Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.0,0.06795922491,0.1554710967,9.992903891,9.994344295
1.0,0.06855429298499999,0.15756422585000002,9.9989542165,10.0004306395
2.0,0.070290327785,0.1573400679,10.00240719,10.00389157
3.0,0.069682620345,0.15692733035,10.00404498,10.005518434999999
4.0,0.06922136917499999,0.15732795384999998,10.00429571,10.005772165
5.0,0.070557410085,0.15702052309999998,10.00652311,10.008003819999999
6.0,0.070246507195,0.15842030080000002,10.006157745,10.007658395
7.0,0.06980385661499999,0.15745930075,10.007248035,10.008730165
8.0,0.06920292123499999,0.15799823455,10.007352985,10.008839795
9.0,0.22078641285,0.0632794182715,10.00733865,10.010895295000001
10.0,-1.9831382526999999,-1.3632546305000002,9.148072984999999,9.7745698945
11.0,-6.8131254185,-4.7345910885,5.730693459499999,10.18865517
12.0,-4.6941471985000005,-4.790396982,7.184431748,9.897450874
13.0,-3.2886124965,-2.665461901,9.1136813695,10.050504322
14.0,-3.3215673325,-2.7700994525000002,9.006699617999999,9.991392698999999
15.0,-3.320013711,-2.7858920935,9.008365207499999,9.996755427499998
16.0,-3.2922885595,-2.751664511,9.0276415805,9.995463544
17.0,-3.2872007415000004,-2.745629451,9.032288102999999,9.9963249095
18.0,-3.260387575,-2.745982375,9.0405199465,9.995076961999999
19.0,-3.282569693,-2.7413227485,9.0304757535,9.99198132
20.0,-3.290634669,-2.7177003060000002,9.0393753015,9.9962248175
21.0,-3.281687383,-2.713364986,9.039108238,9.991862256000001
22.0,-3.268504945,-2.7073365635,9.045103263,9.99134167
23.0,-3.2892523605,-2.715302257,9.035805603,9.991900696
24.0,-3.2653715515,-2.745443484,9.0318350205,9.988775735499999
25.0,-3.5707085960000002,-2.7817094425,8.900172997,9.987340031999999
26.0,-3.5095419760000004,-2.7390764415,8.943740829500001,9.990757994500001
27.0,-3.416106137,-2.690858558,8.9932082925,9.9894109945
28.0,-3.4036152875,-2.6860320045,8.9988790265,9.988974133500001
29.0,-3.3894027094999997,-2.696710515,9.0035434,9.9912009475
30.0,-3.4071544105,-2.6896243340000003,8.997674181499999,9.990042366
31.0,-3.4012495325,-2.6969573945,8.9998686455,9.9919833235
32.0,-3.39987614,-2.688292663,9.000967962499999,9.990170218
33.0,-3.399375361,-2.6901151729999997,9.001384094999999,9.990865572
34.0,-3.394257879,-2.6946501685,9.0009775105,9.989981725
35.0,-3.3977251754999998,-2.6889174445000004,9.001831201,9.990384459
36.0,-3.3938568365,-2.6948635665,9.00114047,9.990050729
37.0,-3.3912293594999996,-2.691092255,9.001969556,9.9888873475
38.0,-3.3954069034999996,-2.692228517,8.999688765,9.988557485000001
39.0,-3.387890835,-2.7004925875000003,9.001602287,9.989960419500001
40.0,-3.3917730625,-2.6939061544999996,9.001673833000002,9.9895641535
41.0,-3.3500748075,-2.697697765,9.017002417,9.990426575
42.0,-3.3095297995,-2.6814511855000003,9.036242158,9.9898381865
43.0,-3.31896932,-2.6824359365,9.033857223999998,9.9910760335
44.0,-3.3200519555,-2.68796358,9.032517036,9.9917096365
45.0,-3.3184541995,-2.6767413665,9.035936638999999,9.991260462
46.0,-3.3214302845,-2.6773518395,9.034162457,9.9908068
47.0,-3.3254348125,-2.6817725809999997,9.031475649499999,9.9908958205
48.0,-3.3362152325,-2.6814439175,9.028515552,9.9917257495
49.0,-3.3242346840000003,-2.689876078,9.030242069,9.991559408499999
50.0,-3.320953318,-2.6891320635,9.033075042,9.9928283275
51.0,-3.32109167,-2.6895899180000002,9.0299177625,9.990143177499998
52.0,-3.323524017,-2.691869654,9.0298557395,9.9915121055
53.0,-3.3566470075,-2.680552054,9.020660497,9.991234194499999
54.0,-3.349988826,-2.6846429875,9.0227821955,9.992016579000001
55.0,-3.352120921,-2.678911408,9.024437794499999,9.9926853135
56.0,-3.349927035,-2.6790115635,9.024833649,9.992333896000002
57.0,-3.3451672109999997,-2.6891892960000003,9.026607857,9.995075432
58.0,-3.3593607435,-2.6904007035,9.0153617785,9.990010914500001
59.0,-3.3568616295,-2.6968106709999997,9.017789386499999,9.9930909385
60.0,-3.3569856319999998,-2.691483339,9.0186860455,9.9925042705
61.0,-3.3594656785000003,-2.6909014815,9.019100952999999,9.993555652
62.0,-3.353432487,-2.6954132595,9.018457082,9.9921645425
63.0,-3.359618297,-2.6899190015,9.0177607555,9.992132569999999
64.0,-3.354634356,-2.696381432,9.0181804595,9.992579622000001
65.0,-3.3559683925000003,-2.689556571,9.019573952,9.9924450995
66.0,-3.3583067335,-2.691583495,9.01800399,9.992360507
67.0,-3.3642493079999998,-2.706530548,9.0121567865,9.993121714499999
68.0,-3.3683509245,-2.6996913410000003,9.011966038499999,9.992480332500001
69.0,-3.3550083755,-2.7016558055,9.0166981935,9.992791593
70.0,-3.3535230945,-2.6837856545000003,9.02373672,9.9938309675
71.0,-3.356561147,-2.6773470704999998,9.023178707,9.992620836
72.0,-3.3510812095,-2.6811911435,9.0247812195,9.993259622
73.0,-3.3489397865,-2.6824979375,9.0254107395,9.993460189
74.0,-3.353790183,-2.6820543905,9.0240705595,9.9937593995
75.0,-3.3473897519999998,-2.6930762925,9.0235125495,9.994071842
76.0,-3.3505136555,-2.6853166065,9.02380824,9.9932988905
77.0,-3.3781280220000003,-2.799484721,8.9798160245,9.9950861865
78.0,-3.425902326,-2.9152648825,8.910765709,9.982300867500001
79.0,-3.5715098425000003,-2.8398665984999996,8.91176245,10.01224113
80.0,-3.5872963149999997,-2.84104465,8.858293567499999,9.9709530325
81.0,-3.4616340885,-2.7888347725,8.948224043,9.991567332
82.0,-3.477248877,-2.7875804565,8.9392004735,9.988593910999999
83.0,-3.4922006645,-2.810339676,8.927467937,9.989653539999999
84.0,-3.476719447,-2.8005005115,8.935652108,9.988809807500001
85.0,-3.4806379214999996,-2.7908551284999996,8.936854915,9.988547906
86.0,-3.4768052945,-2.7956644025,8.9376838385,9.989299765
87.0,-3.4790539345,-2.7899746160000003,8.939257114499998,9.9898996615
88.0,-3.474363402,-2.7886391865,8.9405120455,9.98901756
89.0,-3.4708865665,-2.7885485715,8.942295774,9.9893810695
90.0,-3.4750501845,-2.7849858860000003,8.9438124315,9.991191387
91.0,-3.471291959,-2.7910810835,8.942701170500001,9.990590903000001
92.0,-3.474158321,-2.7841989480000002,8.9435787315,9.990452490500001
93.0,-3.474134475,-2.786078061,8.9446041385,9.991886389000001
94.0,-3.4716544275,-2.7886391875,8.945219369,9.9922901125
95.0,-3.4720108105,-2.7845648505,8.946810701499999,9.992701574000002
96.0,-3.4706242539999996,-2.7892544304999998,8.9466978695,9.993426960499999
97.0,-3.4718165845,-2.7827347665,8.9479760495,9.9931676435
98.0,-3.4726669735,-2.7833052345000002,8.947092346,9.992830931
99.0,-3.4626022555000002,-2.7857346720000002,8.9519727375,9.9943939145
100.0,-3.3979964545000003,-2.7644853775,8.981332764000001,9.992666398499999
101.0,-3.3847478515000002,-2.7677495585000003,8.9850670525,9.9924177305
102.0,-3.4009587755000004,-2.7689705045,8.9803740455,9.9940400445
103.0,-3.4014500155,-2.768822656,8.9796777245,9.9935407
104.0,-3.399284744,-2.7714600904999998,8.981189591,9.9948943285
105.0,-3.405670865,-2.7650596615,8.9795298785,9.9938053625
106.0,-3.4041685289999997,-2.7699148300000003,8.9783804865,9.99360407
107.0,-3.4099155615,-2.7670055445,8.977541047999999,9.994002703500001
108.0,-3.4108217325,-2.7685603435,8.976014901,9.993371561
109.0,-3.4081366045,-2.7737112105,8.976010123,9.993879900500001
110.0,-3.4129631575,-2.7691278925000002,8.974545933,9.992940603000001
