Time (s),Sound pressure level (dB)
0.0,-50.91837158
1.0,-52.003897505
2.0,-45.645405194999995
3.0,-50.147599415
4.0,-47.27191944
5.0,-52.396658165000005
6.0,-50.15536667
7.0,-48.335551995
8.0,-50.197751435
9.0,-36.056228285
10.0,-40.81280357
11.0,-26.249933045000002
12.0,-40.32698107
13.0,-40.89368935
14.0,-39.75567203
15.0,-47.25638757
16.0,-43.827361464999996
17.0,-43.212557775
18.0,-40.287994284999996
19.0,-41.2556884
20.0,-44.60253249
21.0,-44.021113665
22.0,-48.23698648
23.0,-41.74747602
24.0,-44.21606201
25.0,-36.98676877
26.0,-44.781979975
27.0,-45.886001525
28.0,-45.547464614999996
29.0,-48.281093575
30.0,-49.17311603
31.0,-47.726046915
32.0,-49.17811064
33.0,-49.615646319999996
34.0,-48.20046937
35.0,-48.87869861
36.0,-49.332840265
37.0,-50.16328122
38.0,-46.941867450000004
39.0,-46.47266134
40.0,-47.5559243
41.0,-46.57948173
42.0,-49.111040895
43.0,-48.496861665
44.0,-46.892248835000004
45.0,-50.664089625
46.0,-48.257725629999996
47.0,-49.413390335
48.0,-48.16102086
49.0,-49.47974823
50.0,-50.613490715
51.0,-46.51992378
52.0,-46.933086715
53.0,-48.62800205
54.0,-48.359532529999996
55.0,-50.09952292
56.0,-47.789698515
57.0,-48.456995735
58.0,-50.443443335
59.0,-49.78758845
60.0,-49.477990129999995
61.0,-49.723930765000006
62.0,-47.728076535
63.0,-44.734143970000005
64.0,-49.808499510000004
65.0,-49.776433145
66.0,-50.31810508
67.0,-49.316590059999996
68.0,-50.521530795000004
69.0,-48.7781148
70.0,-44.047648525
71.0,-48.500035305
72.0,-42.712138795
73.0,-23.46163234
74.0,-50.009001639999994
75.0,-48.51463364
76.0,-46.600542364999995
77.0,-40.08810724
78.0,-34.01617438
79.0,-42.68040838
80.0,-39.77618323
81.0,-42.71117327
82.0,-44.94576437
83.0,-44.962234214999995
84.0,-42.96041036
85.0,-45.243473890000004
86.0,-44.88259908
87.0,-45.485882145
88.0,-43.131300815
89.0,-44.044715100000005
90.0,-46.47097126
91.0,-42.54144701
92.0,-43.905734280000004
93.0,-38.82362761
94.0,-47.19674743
95.0,-44.629060845
96.0,-45.033675439999996
97.0,-46.324374025
98.0,-47.023658145
99.0,-47.452944935000005
100.0,-46.79475867
101.0,-46.37134805
102.0,-47.047148805000006
103.0,-43.483520105
104.0,-41.96421352
105.0,-48.023944349999994
106.0,-43.35639312
107.0,-44.361962219999995
108.0,-45.36998859
109.0,-44.5319774
110.0,-43.139996245
111.0,-45.80394758
112.0,-46.184515024999996
113.0,-41.143301980000004
114.0,-45.556369454999995
115.0,-44.02245583
116.0,-43.97857994
117.0,-46.551606844999995
118.0,-49.063071210000004
119.0,-37.86529264
120.0,-49.847301825
121.0,-23.71590922
122.0,-23.93553714
123.0,-35.98602119
124.0,-36.622888065
125.0,-35.884241225
126.0,-43.453762264999995
127.0,-45.40100138
128.0,-41.260687795
129.0,-44.084905365
130.0,-45.706078489999996
131.0,-44.190102595
132.0,-37.56989831
133.0,-20.848993215
134.0,-23.42888571
135.0,-31.766985935
136.0,-46.808512539999995
137.0,-46.187862075
138.0,-46.561440090000005
139.0,-47.765698889999996
140.0,-44.296605035
141.0,-45.997199795
142.0,-46.39581452
143.0,-47.89172959
144.0,-47.337929965
145.0,-44.474159695
146.0,-48.123941075
147.0,-42.824398035
148.0,-45.6574698
149.0,-47.80441133
150.0,-40.3980978
151.0,-47.217067235
152.0,-27.935839790000003
153.0,-45.753568785
154.0,-45.165649020000004
155.0,-46.47693586
156.0,-46.92699571
157.0,-47.643204374999996
158.0,-48.243024065
159.0,-47.002233165
160.0,-46.8408723
161.0,-33.79661893
162.0,-48.16904749
163.0,-48.723078345
164.0,-48.053624244999995
165.0,-47.734026029999995
166.0,-51.49837844
167.0,-50.138274365
168.0,-49.11953843
169.0,-47.734161330000006
170.0,-50.27467458
171.0,-48.81206313
172.0,-50.07507625
173.0,-51.219110175
174.0,-34.077006095
175.0,-46.012271555
176.0,-49.20279307
177.0,-49.935746179999995
178.0,-48.68439681
179.0,-49.255571259999996
180.0,-48.648323055000006
181.0,-49.349269629999995
182.0,-51.136815075
183.0,-49.63326332
184.0,-51.32272466
185.0,-49.002897955
186.0,-48.581021305
187.0,-47.699312309999996
188.0,-51.36015222499999
189.0,-46.133899845
190.0,-42.39313361
191.0,-47.074507935
192.0,-42.904019455
193.0,-42.380502385
194.0,-47.740273779999995
195.0,-42.383140925
196.0,-46.64521559
197.0,-46.753632045
198.0,-44.25162664
199.0,-48.418449725
