Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),Sound pressure level (dB),Attitude x (m/s^2),Attitude y (m/s^2),Attitude z (m/s^2),Absolute Attitude (m/s^2),Tilt up/down (deg)_x,Tilt left/right (deg)_x,Left Pupil X,Left Pupil Y,Right Pupil X,Right Pupil Y,Blinking,Looking Center,Looking Left,Looking Right,Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Absolute (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute Linear acceleration (m/s^2),Event,PositionX,PositionY,Inclination (deg),Rotation (deg),Tilt up/down (deg)_y,Tilt left/right (deg)_y,Tilt up/down (deg),Tilt left/right (deg),isDistracted
0.0,0.06795922491,0.1554710967,9.992903891,9.994344295,-50.91837158,0.0676647001,0.1552810807,9.992846883,9.994282343,0.8913444128,0.3896481724,279.5,181.625,367.125,180.875,8.0,8.0,8.0,8.0,0.002196051014,0.06523265105,-0.0350438204,0.07408232415,0.004965041939,0.007779915584,0.187271893,0.1874991751,73.0,89.08791738013699,83.56351669520548,0.9727649124,23.61100754,66.38899245,89.61035182,89.10865558,23.61100754,0
1.0,0.0685542929849999,0.15756422585,9.9989542165,10.0004306395,-52.003897505,0.0684922917499999,0.15736868345,9.9988492895,10.000322212,0.9027957654,0.3928210413499999,297.0,176.0,380.5,176.5,15.0,15.0,15.0,15.0,-0.00120850220661,0.0023331838005,0.000282231419585,0.00269762036,0.02290467291,0.01624157327,0.19290273905,0.19495109395,4.0,32.7919921875,40.259765625,0.98453963385,23.511929675,66.488070325,89.607178955,89.09720422999999,23.511929675,0
2.0,0.070290327785,0.1573400679,10.00240719,10.00389157,-45.645405194999995,0.070481100825,0.1573829919,10.002564575,10.004050945,0.90120090145,0.40263032525,299.0,177.53333333333333,381.93333333333334,177.8,15.0,15.0,15.0,15.0,0.0002641940732,0.0007002734471499,0.00016127509693,0.00077469392775,0.022007802265,0.010275050171,0.1973933340999999,0.198886361,63.0,549.1206597222222,483.8775421626984,0.98703119345,24.071981955,65.92801804000001,89.59736967,89.098799095,24.071981955,0
3.0,0.069682620345,0.15692733035,10.00404498,10.005518435,-50.147599415,0.069515407765,0.1571229871,10.004026205,10.00550158,0.89869010265,0.3990841941,298.4,178.13333333333333,380.46666666666664,178.33333333333334,15.0,15.0,15.0,15.0,0.0003997967212,0.0006359289276,0.0004945076439,0.0008996969199,0.01810171161,0.0055319592965,0.1991776526999999,0.20007903435,49.0,1128.192681760204,582.7957589285714,0.9833113235,23.942718325,66.057281665,89.6009158,89.101309895,23.942718325,0
4.0,0.0692213691749999,0.1573279538499999,10.00429571,10.005772165,-47.27191944,0.06922583327,0.15710753475,10.00431957,10.005792625,0.90096180355,0.39643267055,295.7142857142857,179.78571428571428,378.5,179.78571428571428,15.0,15.0,15.0,15.0,0.00051022772175,0.00086095861675,0.0004104196571499,0.0010834274314999,0.018138381095,-0.000539920317,0.19907675445,0.1999251534,43.0,1057.3241279069769,574.8806322674419,0.98429666735,23.748769295,66.25123070000001,89.603567325,89.09903819,23.748769295,0
5.0,0.070557410085,0.1570205230999999,10.00652311,10.00800382,-52.396658165000005,0.070710028525,0.15737345325,10.006475415,10.007962735,0.89900100445,0.40399411985,289.73333333333335,180.4,373.8666666666667,179.53333333333333,15.0,15.0,15.0,15.0,0.0002079599933999,0.0007490803844,0.00042865223125,0.0008891209917,0.01996444088,-0.000499485298055,0.2009762995,0.20196694045,0.0,0.0,0.0,0.985606597,24.196550315,65.803449675,89.596005875,89.10099899,24.196550315,0
6.0,0.070246507195,0.1584203008,10.006157745,10.007658395,-50.15536667,0.07014104785,0.1582388565,10.00616261,10.00765968,0.90704702895,0.40222863985,285.2,179.2,369.9,177.2,15.0,15.0,15.0,15.0,0.00035530177075,0.00012609166131,0.00045280105505,0.0006366426266,0.014816276315,-0.001931223486,0.19992636875,0.20049057835,0.0,0.0,0.0,0.99223957805,23.91396376,66.08603624,89.59777135499999,89.092952965,23.91396376,0
7.0,0.0698038566149999,0.15745930075,10.007248035,10.008730165,-48.335551995,0.06981339526,0.1574736088,10.0073148,10.00879721,0.90144753885,0.399650524,282.6875,182.125,366.4375,179.0,16.0,16.0,16.0,16.0,0.0006440393673,-0.00016339713765,0.0003957605997,0.00079415901295,0.011569676035,-0.0050298297215,0.2020828535,0.20248281345,0.0,0.0,0.0,0.98604326675,23.90804534,66.091954655,89.600349475,89.098552455,23.90804534,0
8.0,0.0692029212349999,0.15799823455,10.007352985,10.008839795,-50.197751435,0.0688309138,0.158122237,10.00745791,10.00894404,0.90452366915,0.3962055285,281.1333333333333,184.8,365.8,182.26666666666668,15.0,15.0,15.0,15.0,0.00011777326159,0.00032148917345,0.00053687630945,0.0006618674985,0.0084304570975,-0.0035157857075,0.20323811635,0.2034653660499999,0.0,0.0,0.0,0.98753441395,23.66079169,66.339208305,89.603794465,89.09547632499999,23.66079169,0
9.0,0.22078641285,0.0632794182715,10.00733865,10.010895295,-36.056228285,0.2280787124,0.0622253972449999,10.00878852,10.01227899,0.36236002846,1.2635631479,276.57142857142856,179.28571428571428,351.7142857142857,176.57142857142858,15.0,15.0,15.0,15.0,-0.03897127866969,-0.0846566934905,0.018774755535,0.108741808615,-0.02473984052,0.020989614505,0.21328582465,0.25603434225,0.0,0.0,0.0,1.4466761086,64.492056785,25.5079432145,88.736436845,89.637639965,64.492056785,0
10.0,-1.9831382527,-1.3632546305000002,9.148072985,9.7745698945,-40.81280357,-2.0354768371,-1.3748679395,9.137823703,9.775433899,-8.744330798,-12.7915540085,249.0,219.5,320.0,207.5,15.0,15.0,15.0,15.0,-0.3748447032999999,0.80294838945,0.3977850264,0.99502191935,-0.10991417931,-0.2031600595635,-0.02320280175,0.4923290276,0.0,0.0,0.0,17.5571499635,25.46121765000001,-115.461217655,102.79155401,98.7443308,25.46121765000001,0
11.0,-6.8131254185,-4.7345910885,5.730693459499999,10.18865517,-26.249933045,-6.8153813095,-4.778359194,5.711935698,10.19878145,-28.4865822,-46.60557105,-1.0,-1.0,-1.0,-1.0,15.0,15.0,15.0,15.0,-0.0018716414499999,0.27731995703,-0.38204054485,0.7460064216,-0.22939849656,-0.3883143644699999,0.0560876358,0.61463922825,17.0,759.8738511029412,538.0342371323529,49.92903384,-117.160592,-152.839408,136.605571,118.4865822,-117.160592,0
12.0,-4.6941471985000005,-4.790396982,7.184431748,9.897450874,-40.32698107,-4.67531313,-4.762229343,7.206537576500001,9.890774523,-34.00272952,-33.43561099,308.7142857142857,196.5,395.6428571428572,199.0,15.0,15.0,15.0,15.0,0.58265615555,-0.1684783645499999,-0.1761208934949999,0.70565039575,0.035116415175,-0.09981150665,0.2301561757,0.3873882387,96.0,894.8633626302084,826.435546875,43.12599053,-135.81313825,-134.18686175,123.435611,124.0027295,-135.81313825,0
13.0,-3.2886124965,-2.665461901,9.1136813695,10.050504322,-40.89368935,-3.2889320425,-2.663263242,9.111787946,10.04822521,-16.302437695,-19.83505094,321.3333333333333,195.2,427.6,199.73333333333332,15.0,15.0,15.0,15.0,0.03156111174,-0.024264474875,0.003559723322,0.084525179095,-0.071872185025,-0.008414212035,0.2005106703,0.233847837,78.0,1223.2903645833333,878.7550580929487,24.92093974,-129.08367694999998,-140.916323,109.83505095,106.3024377,-129.08367694999998,0
