Time (s),Mouse Move,Key Press,Mouse Scroll,Mouse Click,PositionX,PositionY
0,73,0,0,0,89.08791738013699,83.56351669520548
1,3,0,0,1,32.7919921875,40.259765625
2,62,0,0,1,549.1206597222222,483.87754216269843
3,49,0,0,0,1128.192681760204,582.7957589285714
4,43,0,0,0,1057.3241279069769,574.8806322674419
11,17,0,0,0,759.8738511029412,538.0342371323529
12,96,0,0,0,894.8633626302084,826.435546875
13,78,0,0,0,1223.2903645833333,878.7550580929487
14,27,0,0,1,1070.113002232143,878.6170479910714
15,14,0,0,0,794.5426897321429,580.5161830357143
16,65,0,21,1,269.5727370689655,140.58212104885058
17,22,0,0,0,188.66281960227272,125.24378551136364
18,0,1,0,0,,
19,0,1,0,0,,
20,0,1,0,0,,
21,0,1,0,0,,
51,48,0,0,0,266.2318522135417,96.11246744791667
53,15,0,0,0,282.6625,206.60546875
54,52,0,0,0,365.8088942307692,295.1325871394231
68,38,0,0,0,414.31332236842104,343.5883018092105
75,23,0,0,0,444.9322350543478,366.4500679347826
96,0,1,0,0,,
113,18,0,0,0,466.9138454861111,383.8125
127,0,1,0,0,,
129,87,0,0,0,596.3370599856322,342.54242995689657
130,11,0,0,0,660.3565340909091,354.7713068181818
149,0,1,0,0,,
228,0,1,0,0,,
238,30,0,0,0,763.0665364583333,565.5075520833333
239,28,0,0,1,848.4644396551724,712.3336476293103
240,78,0,0,0,1095.375,839.7497996794872
241,47,0,0,1,1180.005126953125,872.9517415364584
242,79,0,0,0,1212.899376977848,720.4779964398734
243,5,0,0,0,1206.78515625,705.609375
244,25,0,0,0,1202.50109375,696.8578125
245,7,0,0,1,1172.4443359375,692.9892578125
246,12,0,0,0,973.8544921875,686.68359375
247,25,0,0,0,912.56859375,523.9640625
248,20,0,0,0,902.624609375,416.0572265625
249,18,0,0,0,807.9190538194445,481.8747829861111
258,24,1,0,0,716.9505208333334,543.5647786458334
259,42,0,0,0,573.9639136904761,344.0201822916667
260,0,1,0,0,,
261,78,0,0,0,248.32476963141025,741.8442007211538
262,27,0,0,1,296.38392857142856,628.1908482142857
263,93,0,0,0,1196.3585769489248,65.93199764784946
264,0,1,0,1,1370.6953125,57.5625
265,0,2,0,0,,
266,54,0,0,0,721.5561342592592,458.09078414351853
269,1,0,17,0,686.93359375,457.07421875
270,2,0,17,0,686.93359375,453.8871299342105
271,26,0,29,0,969.0233664772727,234.16598011363635
272,0,0,47,0,1028.8984375,196.18359375
273,75,0,0,0,925.3088541666667,498.77552083333336
274,12,0,0,0,919.642578125,542.30078125
276,0,0,45,0,919.0859375,544.27734375
277,33,0,24,0,971.2449287280701,450.39041940789474
278,76,0,0,1,1138.397372159091,91.2817573051948
279,72,0,0,0,939.6397026909722,202.62179904513889
280,28,0,22,0,442.192578125,451.433828125
281,37,0,24,0,357.2972592213115,290.3897925204918
282,30,0,26,0,498.31759207589283,272.3384486607143
283,76,0,0,1,134.17461444805195,42.39234983766234
302,53,0,0,0,138.171875,61.541052476415096
303,40,0,0,1,105.25962271341463,67.19016768292683
304,42,0,0,0,565.7745535714286,182.92643229166666
306,0,1,0,0,,
308,0,1,0,0,,
324,0,1,0,0,,
339,0,1,0,0,,
357,0,1,0,0,,
369,0,1,0,0,,
400,0,1,0,0,,
414,0,1,0,0,,
480,0,1,0,0,,
481,0,1,0,0,,
482,22,1,0,0,549.1498579545455,210.47727272727272
483,84,0,0,0,223.0868675595238,757.5794735863095
484,38,0,0,1,639.1409254807693,413.9310897435897
485,65,0,0,1,1356.830078125,108.3856534090909
486,0,3,0,0,,
487,21,0,0,0,1223.2587425595239,307.7933407738095
488,17,0,38,0,945.2026278409091,688.4269886363636
491,0,0,47,0,825.05078125,629.609375
498,0,0,2,0,825.05078125,629.609375
499,0,0,39,0,825.05078125,629.609375
500,0,0,19,0,825.05078125,629.609375
501,53,0,0,0,871.5116450471698,428.20688384433964
502,0,0,36,0,873.90234375,423.16796875
503,0,0,20,0,873.90234375,423.16796875
504,0,0,18,0,873.90234375,423.16796875
505,0,0,17,0,873.90234375,423.16796875
508,0,0,12,0,873.90234375,423.16796875
509,0,0,34,0,873.90234375,423.16796875
510,0,0,15,0,873.90234375,423.16796875
511,0,0,28,0,873.90234375,423.16796875
514,0,0,10,0,873.90234375,423.16796875
515,0,0,24,0,873.90234375,423.16796875
517,37,0,0,0,1036.1351351351352,365.78156672297297
518,28,0,0,0,1095.307338169643,363.92215401785717
523,0,0,49,0,1091.7578125,374.15234375
524,0,0,18,0,1091.7578125,374.15234375
525,0,0,44,0,1091.7578125,374.15234375
526,0,0,41,0,1091.7578125,374.15234375
527,0,0,21,0,1091.7578125,374.15234375
528,0,0,20,0,1091.7578125,374.15234375
529,0,0,27,0,1091.7578125,374.15234375
530,0,0,9,0,1091.7578125,374.15234375
534,0,0,35,0,1091.7578125,374.15234375
535,0,0,12,0,1091.7578125,374.15234375
537,0,0,18,0,1091.7578125,374.15234375
538,0,0,13,0,1091.7578125,374.15234375
539,0,0,32,0,1091.7578125,374.15234375
540,0,0,40,0,1091.7578125,374.15234375
541,0,0,24,0,1091.7578125,374.15234375
542,0,0,6,0,1091.7578125,374.15234375
543,0,0,35,0,1091.7578125,374.15234375
544,0,0,58,0,1091.7578125,374.15234375
545,0,0,58,0,1091.7578125,374.15234375
546,70,0,1,0,1083.7960497359154,192.04957086267606
547,61,0,0,1,1125.452620967742,88.38879788306451
548,51,0,0,0,799.5936734068628,308.18083639705884
549,72,0,0,0,740.6117078993055,391.38818359375
550,38,0,0,0,182.48458059210526,44.34508634868421
551,31,0,0,1,397.6346435546875,254.371337890625
552,90,0,0,0,306.52374131944447,201.87421875
553,68,0,0,0,114.3837890625,78.92842371323529
555,24,0,0,1,167.11390625,66.5140625
556,78,0,0,0,658.5191306089744,334.84359975961536
560,0,1,0,0,,
562,0,1,0,0,,
577,0,1,0,0,,
629,0,1,0,0,,
677,0,1,0,0,,
707,0,1,0,0,,
739,38,0,0,0,814.3388157894736,348.19459292763156
778,0,1,0,0,,
829,3,0,0,0,682.0625,415.3424479166667
830,0,1,0,0,,
839,0,1,0,0,,
840,14,1,0,0,597.3186383928571,394.63309151785717
841,119,0,0,0,508.99694721638656,362.5702468487395
842,91,0,0,0,372.5510817307692,546.1561212225274
843,48,0,0,1,156.82254464285714,844.8624840561224
844,81,0,0,0,1088.1218171296296,132.86212384259258
845,18,1,0,1,1371.6457648026317,62.93811677631579
846,0,2,0,0,,
850,56,0,0,0,1353.8738839285713,78.48988560267857
851,0,0,30,0,1133.95703125,332.3515625
852,0,0,32,0,1133.95703125,332.3515625
853,0,0,26,0,1133.95703125,332.3515625
854,0,0,55,0,1133.95703125,332.3515625
855,0,0,56,0,1133.95703125,332.3515625
856,0,0,19,0,1133.95703125,332.3515625
857,0,0,26,0,1133.95703125,332.3515625
858,0,0,34,0,1133.95703125,332.3515625
859,0,0,8,0,1133.95703125,332.3515625
860,10,0,0,0,1090.169921875,348.015234375
861,12,0,13,0,927.32890625,376.40328125
862,0,0,22,0,913.12890625,374.06640625
863,0,0,35,0,913.12890625,374.06640625
864,0,0,15,0,913.12890625,374.06640625
865,0,0,1,0,913.12890625,374.06640625
866,0,0,34,0,913.12890625,374.06640625
867,0,0,25,0,913.12890625,374.06640625
868,0,0,16,0,913.12890625,374.06640625
870,0,0,10,0,913.12890625,374.06640625
871,0,0,23,0,913.12890625,374.06640625
872,0,0,59,0,913.12890625,374.06640625
873,0,0,34,0,913.12890625,374.06640625
874,0,0,55,0,913.12890625,374.06640625
875,77,0,20,0,1072.5753463273195,179.41100193298968
876,44,0,0,1,1131.6206597222222,119.80034722222223
877,0,4,0,0,,
878,0,2,0,0,,
880,0,1,0,0,,
881,0,1,0,0,,
883,100,0,0,0,1194.5680859375,327.103828125
884,90,0,0,1,1349.6933379120878,470.7117960164835
