Time (s),Inclination (deg),Rotation (deg)
0.0,0.9727649124,23.61100754
1.0,0.98453963385,23.511929675
2.0,0.98703119345,24.071981955
3.0,0.9833113235,23.942718325
4.0,0.98429666735,23.748769295000002
5.0,0.9856065970000001,24.196550315
6.0,0.99223957805,23.91396376
7.0,0.98604326675,23.90804534
8.0,0.98753441395,23.66079169
9.0,1.4466761086,64.492056785
10.0,17.5571499635,25.46121765000001
11.0,49.92903384,-117.160592
12.0,43.125990529999996,-135.81313825
13.0,24.92093974,-129.08367694999998
14.0,25.6507618,-129.82578030000002
15.0,25.692656605,-130.00074865
16.0,25.42146365,-129.8886917
17.0,25.369797900000002,-129.87043820000002
18.0,25.244336314999998,-130.1049677
19.0,25.341565035000002,-129.86579675000002
20.0,25.273661214999997,-129.55291935
21.0,25.224211869999998,-129.5846152
22.0,25.136985715,-129.63562804999998
23.0,25.268935390000003,-129.54016969999998
24.0,25.28364395,-130.05477165
25.0,25.79230982,-128.8110495
26.0,26.46252946,-127.97066405000001
27.0,25.80586645,-128.2274687
28.0,25.725667735000002,-128.28001195000002
29.0,25.690717915,-128.50680935
30.0,25.754471305,-128.2877689
31.0,25.748584425,-128.4120264
32.0,25.712492465,-128.3335353
33.0,25.715273365,-128.35653745000002
34.0,25.710117099999998,-128.4455165
35.0,25.703631594999997,-128.35765594999998
36.0,25.70878614,-128.4510063
37.0,25.68395522,-128.43357355
38.0,25.71019409,-128.41100640000002
39.0,25.69615406,-128.5559756
40.0,25.69593627,-128.45826764999998
41.0,25.502052255,-128.84560119999998
42.0,25.238143655000002,-129.01513225
43.0,25.2852375,-128.94561700000003
44.0,25.310908570000002,-128.99414405
45.0,25.25951716,-128.89043615
46.0,25.277864209999997,-128.87171035
47.0,25.315009535,-128.88420655
48.0,25.36471804,-128.79014815
49.0,25.339587465,-128.97878935
50.0,25.31697977,-128.99871385
51.0,25.326777665,-129.00231875
52.0,25.34419059,-129.00556315
53.0,25.463747925,-128.6101617
54.0,25.44057578,-128.8143287
55.0,25.430828045,-128.630766
56.0,25.42130296,-128.6501076
57.0,25.430674325,-128.7958989
58.0,25.51964453,-128.69008175
59.0,25.524321264999998,-128.7773972
60.0,25.505343019999998,-128.7211136
61.0,25.512452575,-128.69441940000002
62.0,25.504303880000002,-128.79150199999998
63.0,25.513196545,-128.6829366
64.0,25.512979825,-128.79154
65.0,25.492804884999998,-128.709563
66.0,25.512697375000002,-128.71114825
67.0,25.59952375,-128.81654535
68.0,25.57842002,-128.7317203
69.0,25.53524456,-128.8431281
70.0,25.453988825,-128.6698879
71.0,25.446837505,-128.5775004
72.0,25.4331647,-128.66317659999999
73.0,25.427180149999998,-128.69468595
74.0,25.44864539,-128.64968240000002
75.0,25.459875760000003,-128.8177465
76.0,25.446606154999998,-128.71088235
77.0,26.04281851,-129.6268632
78.0,26.78670669,-130.4071298
79.0,27.115533655,-128.4853764
80.0,27.321214125,-128.3790056
81.0,26.417160265,-128.85629055
82.0,26.498835264999997,-128.71670905
83.0,26.65268952,-128.8780161
84.0,26.547219005000002,-128.8514018
85.0,26.528779864999997,-128.72343684999998
86.0,26.526771705,-128.80240885
87.0,26.51345757,-128.7273433
88.0,26.48718023,-128.75168854999998
89.0,26.468416745,-128.77875490000002
90.0,26.469756314999998,-128.7094979
91.0,26.477137225,-128.80090895
92.0,26.464252039999998,-128.70877165000002
93.0,26.467571014999997,-128.7278162
94.0,26.46430375,-128.77347070000002
