"Time (s)","Sound pressure level (dB)"
0.000000000E0,-∞
6.762634700E-2,-∞
5.786024230E-1,-5.091837158E1
1.107953807E0,-5.125956285E1
1.631236538E0,-5.274823216E1
2.152376422E0,-3.952853372E1
2.672346576E0,-5.176227667E1
3.194945691E0,-5.079606459E1
3.716794844E0,-4.949913424E1
4.225247151E0,-4.311503689E1
4.743835497E0,-5.142880199E1
5.267105420E0,-5.126898166E1
5.788051573E0,-5.352433467E1
6.309194342E0,-4.946821052E1
6.824279149E0,-5.084252282E1
7.346571534E0,-4.621914730E1
7.874458649E0,-5.045195669E1
8.395482302E0,-5.098828877E1
8.920106917E0,-4.940721410E1
9.434549917E0,-4.329063861E1
9.962641455E0,-2.882181796E1
1.048157661E1,-4.187392419E1
1.100434853E1,-3.975168295E1
1.152537449E1,-4.218570626E1
1.204791761E1,-1.031415983E1
1.256898614E1,-4.032698107E1
1.308920638E1,-3.937740149E1
1.361132364E1,-4.240997721E1
1.412720811E1,-4.405855814E1
1.464570226E1,-3.545278592E1
1.516733903E1,-4.721064348E1
1.568905445E1,-4.730213166E1
1.621356364E1,-4.385944997E1
1.673368495E1,-4.379527296E1
1.725482314E1,-4.113439729E1
1.777714522E1,-4.529071826E1
1.829739026E1,-4.036307955E1
1.881906733E1,-4.021290902E1
1.933636441E1,-4.287760125E1
1.985285141E1,-3.963377555E1
2.036848202E1,-4.359006044E1
2.088890856E1,-4.561500454E1
2.140337356E1,-4.603891813E1
2.192091525E1,-4.200330920E1
2.243939833E1,-4.920826823E1
2.296030648E1,-4.726570473E1
2.347861952E1,-4.775804215E1
2.399726552E1,-3.573690989E1
2.451342191E1,-5.008153782E1
2.503140229E1,-3.835058620E1
2.555880871E1,-3.698676877E1
2.608087514E1,-3.899843391E1
2.660101321E1,-5.056552604E1
2.712162637E1,-4.810426285E1
2.764476098E1,-4.366774020E1
2.816479560E1,-4.641235622E1
2.868509652E1,-4.468257301E1
2.919917236E1,-4.747916939E1
2.972066367E1,-4.908301776E1
3.024231544E1,-4.617127725E1
3.076374821E1,-5.217495481E1
3.128400544E1,-4.798297756E1
3.180047244E1,-4.746911627E1
3.232349209E1,-5.225125597E1
3.284280144E1,-4.610496531E1
3.336226525E1,-4.862336331E1
3.388440659E1,-5.060792933E1
3.440349378E1,-4.908287913E1
3.492288824E1,-4.731805961E1
3.544029001E1,-5.095856326E1
3.595747267E1,-4.679883396E1
3.647671740E1,-4.579253100E1
3.699264886E1,-5.287314953E1
3.751357767E1,-4.804783478E1
3.803630890E1,-5.227872766E1
3.855615532E1,-4.716949918E1
3.907529924E1,-4.671423572E1
3.959660620E1,-4.647266134E1
4.011734805E1,-4.470012549E1
4.063281801E1,-5.041172311E1
4.114643236E1,-4.537248358E1
4.166883324E1,-4.778647988E1
4.218912659E1,-4.835955078E1
4.270825474E1,-4.986253101E1
4.323045659E1,-4.704961611E1
4.374550870E1,-4.994410722E1
4.426567785E1,-4.568273410E1
4.478767847E1,-4.810176357E1
4.530786097E1,-5.101959528E1
4.582162147E1,-5.030858397E1
4.634401916E1,-4.709828076E1
4.686144062E1,-4.941717050E1
4.738115031E1,-5.134538841E1
4.790592227E1,-4.748139226E1
4.842524743E1,-4.772855138E1
4.894638674E1,-4.859349034E1
4.946061631E1,-4.968945120E1
4.998195823E1,-4.927004526E1
5.049555335E1,-5.059934387E1
5.101130531E1,-5.062763756E1
5.152466027E1,-4.753165026E1
5.203983458E1,-4.550819730E1
5.256027012E1,-4.759716416E1
5.307602377E1,-4.626900927E1
5.359781846E1,-4.862800205E1
5.411936104E1,-4.461379874E1
5.464138165E1,-5.210526632E1
5.515914908E1,-4.805826067E1
5.568039012E1,-5.214078517E1
5.620121265E1,-4.511121278E1
5.671695623E1,-5.046818425E1
5.722902458E1,-4.974357924E1
5.775213365E1,-4.717041223E1
5.827941865E1,-5.205636860E1
5.879883484E1,-4.883051807E1
5.931083442E1,-5.047585454E1
5.982795400E1,-4.909932236E1
6.034811357E1,-4.944121921E1
6.086215280E1,-4.951476105E1
6.138301900E1,-4.938864153E1
6.190111738E1,-5.005922000E1
6.242223323E1,-4.904229313E1
6.294280699E1,-4.641385994E1
6.346243538E1,-4.676434598E1
6.398479992E1,-4.270394196E1
6.450262434E1,-4.947029671E1
6.502420553E1,-5.014670231E1
6.554190134E1,-5.227805956E1
6.606311318E1,-4.727480673E1
6.658657845E1,-5.031810508E1
6.710733407E1,-4.989769535E1
6.762662484E1,-4.873548477E1
6.814054480E1,-5.195199604E1
6.866138730E1,-4.909106555E1
6.918045095E1,-4.969343809E1
6.969911314E1,-4.786279151E1
7.021665968E1,-4.045810288E1
7.073271756E1,-4.763719417E1
7.125242541E1,-4.703967136E1
7.177109764E1,-4.996039925E1
7.229175714E1,-3.987666352E1
7.280568249E1,-4.554761407E1
7.332776679E1,-2.794982214E1
7.385116756E1,-1.897344254E1
7.436486518E1,-4.935024478E1
7.488636641E1,-5.066775850E1
7.540944668E1,-4.710128610E1
7.592471487E1,-4.992798118E1
7.644477037E1,-4.744126487E1
7.696736756E1,-4.575981986E1
7.748780748E1,-3.692555528E1
7.801068521E1,-4.325065920E1
7.852959214E1,-2.739762526E1
7.904991144E1,-4.063472350E1
7.957007129E1,-4.268040838E1
8.008346129E1,-3.697760695E1
8.060493133E1,-4.257475951E1
8.112365140E1,-4.043218231E1
8.164157129E1,-4.499016423E1
8.215595190E1,-4.357467193E1
8.267415006E1,-4.631685681E1
8.319547586E1,-4.143877429E1
8.371023290E1,-4.848569414E1
8.422684025E1,-4.094565158E1
8.474975436E1,-4.497516914E1
8.527318090E1,-4.375114887E1
8.579299379E1,-4.673579891E1
8.631308636E1,-3.983393973E1
8.682874886E1,-4.993125843E1
8.734208078E1,-4.673643463E1
8.786474544E1,-4.423532966E1
8.838480998E1,-4.613223900E1
8.890719901E1,-4.013036263E1
8.942714571E1,-4.360022379E1
8.994572351E1,-4.448920641E1
9.046064836E1,-4.539003331E1
9.098184136E1,-4.755190921E1
9.150209978E1,-4.412634000E1
9.202384590E1,-4.095655402E1
9.254481366E1,-4.064101460E1
9.306379113E1,-4.717045396E1
9.358348720E1,-3.882362761E1
9.410438940E1,-4.573130647E1
9.462588743E1,-4.866218839E1
9.513907224E1,-4.592102102E1
9.566019205E1,-4.333710067E1
9.617501193E1,-4.440044647E1
9.668941859E1,-4.566690441E1
9.720402097E1,-4.726793918E1
9.772598212E1,-4.538080887E1
9.824709324E1,-4.710191564E1
9.876877843E1,-4.694540065E1
9.929030497E1,-4.744163729E1
9.980916724E1,-4.746425258E1
1.003301506E2,-4.515050213E1
1.008514525E2,-4.843901521E1
1.013663926E2,-4.607864741E1
1.018878405E2,-4.666404869E1
1.024044047E2,-4.796972602E1
1.029264121E2,-4.612457159E1
1.034449836E2,-4.948048672E1
1.039661223E2,-3.748655349E1
1.044864695E2,-3.666193637E1
1.050017738E2,-4.726649067E1
1.055250865E2,-4.778874515E1
1.060461831E2,-4.825914355E1
1.065641786E2,-4.335639312E1
1.070823636E2,-4.327222782E1
1.076034620E2,-4.545169662E1
1.081254972E2,-4.343361244E1
1.086464627E2,-4.730636474E1
1.091678560E2,-4.417554045E1
1.096896778E2,-4.488841435E1
1.102088254E2,-4.436755779E1
1.107303295E2,-4.191243470E1
1.112520122E2,-4.703033831E1
1.117751226E2,-4.457755685E1
1.122898689E2,-4.615833284E1
1.128116756E2,-4.621069721E1
1.133317578E2,-4.226289909E1
1.138524472E2,-4.002370487E1
1.143727692E2,-4.607567330E1
1.148955522E2,-4.503706561E1
1.154102011E2,-4.353208043E1
1.159301929E2,-4.451283123E1
1.164466603E2,-4.465364135E1
1.169648168E2,-4.330351853E1
1.174860899E2,-4.649196190E1
1.180074262E2,-4.661125179E1
1.185251079E2,-4.783340219E1
1.190470251E2,-5.029274023E1
1.195656491E2,-3.786529264E1
1.200856747E2,-4.871637000E1
1.206055892E2,-5.097823365E1
1.211277603E2,-2.635749724E1
1.216543096E2,-2.107432120E1
1.221763042E2,-1.914379877E1
1.226934705E2,-2.872727551E1
1.232130106E2,-4.321097846E1
1.237328385E2,-2.876106392E1
1.242541783E2,-3.063365928E1
1.247733404E2,-4.261211685E1
1.252943068E2,-2.708203490E1
1.258081425E2,-4.468644755E1
1.263237083E2,-4.191648265E1
1.268394656E2,-4.499104188E1
1.273609122E2,-4.428624034E1
1.278794358E2,-4.651576242E1
1.284013313E2,-3.863713108E1
1.289212040E2,-4.388424451E1
1.294397468E2,-4.388997254E1
1.299527855E2,-4.427983819E1
1.304728626E2,-4.593419927E1
1.309966807E2,-4.547795771E1
1.315134471E2,-4.459879925E1
1.320332347E2,-4.378140594E1
1.325561253E2,-3.756989831E1
