"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)","Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute Linear acceleration (m/s^2)","Time (s)","Attitude x (m/s^2)","Attitude y (m/s^2)","Attitude z (m/s^2)","Absolute Attitude (m/s^2)","Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
5.065034230E-1,6.795922491E-2,1.554710967E-1,9.992903891E0,9.994344295E0,5.206025440E-1,4.965041939E-3,7.779915584E-3,1.872718930E-1,1.874991751E-1,5.145600640E-1,6.766470010E-2,1.552810807E-1,9.992846883E0,9.994282343E0,5.105927780E-1,2.196051014E-3,6.523265105E-2,-3.504382040E-2,7.408232415E-2
1.008029302E0,6.747642535E-2,1.570825237E-1,9.997242023E0,9.998703719E0,1.024020513E0,2.043082027E-2,1.539237963E-2,1.919522058E-1,1.936491495E-1,1.016055425E0,6.758135050E-2,1.567963642E-1,9.997499569E0,9.998957444E0,1.012057622E0,-2.351221150E-3,3.628689677E-3,5.135338612E-4,4.354233192E-3
1.509494146E0,6.963216062E-2,1.580459280E-1,1.000066641E1,1.000215756E1,1.527407964E0,2.537852555E-2,1.709076691E-2,1.938532723E-1,1.962530384E-1,1.517489751E0,6.940323300E-2,1.579410027E-1,1.000019901E1,1.000168698E1,1.513583501E0,-6.578326322E-5,1.037677924E-3,5.092897797E-5,1.041007528E-3
2.010836919E0,6.967031536E-2,1.572923743E-1,1.000230703E1,1.000378632E1,2.030764898E0,2.289890652E-2,1.128720859E-2,1.975941582E-1,1.992365739E-1,2.018771489E0,7.001370684E-2,1.575976113E-1,1.000265042E1,1.000413686E1,2.014834722E0,3.183061123E-4,8.297179328E-4,7.214938546E-5,8.916031421E-4
2.512057622E0,7.091034021E-2,1.573877615E-1,1.000250735E1,1.000399682E1,2.534152349E0,2.111669801E-2,9.262891752E-3,1.971925100E-1,1.985361481E-1,2.520114263E0,7.094849481E-2,1.571683725E-1,1.000247873E1,1.000396503E1,2.516146978E0,2.100820341E-4,5.708289615E-4,2.504008084E-4,6.577847134E-4
3.012118657E0,7.082048619E-2,1.567244433E-1,1.000392288E1,1.000540110E1,3.038089116E0,1.911365464E-2,6.127265554E-3,1.981034646E-1,1.991176985E-1,3.020114263E0,7.067683411E-2,1.567819041E-1,1.000407611E1,1.000555419E1,3.016146978E0,4.282363113E-4,7.222493012E-4,5.688512195E-4,1.014210087E-3
3.513278325E0,6.854475450E-2,1.571302174E-1,1.000416708E1,1.000563577E1,3.541079839E0,1.708976858E-2,4.936653039E-3,2.002518408E-1,2.010403702E-1,3.521212896E0,6.835398142E-2,1.574640701E-1,1.000397630E1,1.000544897E1,3.517276128E0,3.713571311E-4,5.496085540E-4,4.201640683E-4,7.851837528E-4
4.014560064E0,6.932692372E-2,1.579314640E-1,1.000328952E1,1.000477634E1,4.044619878E0,1.736650040E-2,2.419387223E-3,1.982207596E-1,1.989947696E-1,4.022494634E0,6.948908084E-2,1.580077733E-1,1.000332767E1,1.000481683E1,4.018557866E0,5.496085540E-4,9.527962963E-4,3.862114163E-4,1.165782828E-3
4.515353521E0,6.911581463E-2,1.567244437E-1,1.000530190E1,1.000676799E1,4.549350103E0,1.891026179E-2,-3.499227857E-3,1.999327493E-1,2.008555372E-1,4.523410161E0,6.896258570E-2,1.562072962E-1,1.000531147E1,1.000676842E1,4.519442876E0,4.708468895E-4,7.691209372E-4,4.346278980E-4,1.001072035E-3
5.016909917E0,6.927923073E-2,1.574736094E-1,1.000676158E1,1.000824035E1,5.052951177E0,1.967932183E-2,2.469831989E-5,2.007736176E-1,2.017357723E-1,5.024875005E0,6.952723567E-2,1.577979235E-1,1.000700004E1,1.000848560E1,5.020938237E0,2.546448899E-4,8.827689516E-4,4.519946795E-4,1.023925892E-3
5.518679937E0,7.183558944E-2,1.565674368E-1,1.000628464E1,1.000776729E1,5.556460698E0,2.024955993E-2,-1.023668916E-3,2.011789814E-1,2.021981086E-1,5.526614507E0,7.189282138E-2,1.569489830E-1,1.000595079E1,1.000743987E1,5.522708257E0,1.612750969E-4,6.153918172E-4,4.053097830E-4,7.543160914E-4
6.020083745E0,7.151127515E-2,1.576357657E-1,1.000601760E1,1.000751473E1,6.060153325E0,1.631027501E-2,-2.431400948E-3,1.990801947E-1,1.997620102E-1,6.028109868E0,7.156850703E-2,1.573782221E-1,1.000597945E1,1.000747294E1,6.024142583E0,2.482787676E-4,3.374044791E-4,5.008016168E-4,6.529061099E-4
6.520236333E0,6.898173924E-2,1.592048359E-1,1.000629789E1,1.000780206E1,6.563968023E0,1.332227762E-2,-1.431046024E-3,2.007725428E-1,2.012191465E-1,6.528201421E0,6.871358867E-2,1.590994909E-1,1.000634577E1,1.000784642E1,6.524264653E0,4.623247739E-4,-8.522115648E-5,4.048004933E-4,6.203791433E-4
7.021579107E0,6.926015356E-2,1.572732969E-1,1.000738158E1,1.000885697E1,7.067385991E0,1.299634866E-2,-4.187771725E-3,2.028224582E-1,2.032815586E-1,7.029635747E0,6.936507872E-2,1.572351424E-1,1.000763911E1,1.000911460E1,7.025668462E0,9.506742555E-4,-2.143261156E-4,3.840893756E-4,1.047493137E-3
7.523166021E0,7.034755967E-2,1.576453046E-1,1.000711449E1,1.000860336E1,7.571200689E0,1.014300341E-2,-5.871887718E-3,2.013432488E-1,2.016840683E-1,7.531161626E0,7.026171180E-2,1.577120752E-1,1.000699049E1,1.000847982E1,7.527194341E0,3.374044791E-4,-1.124681597E-4,4.074318238E-4,5.408248889E-4
8.024356206E0,7.029032761E-2,1.554323370E-1,1.000791575E1,1.000936949E1,8.074527105E0,6.640153035E-3,-5.914058595E-3,2.037498232E-1,2.039437623E-1,8.032412847E0,6.971800848E-2,1.556898805E-1,1.000733390E1,1.000878772E1,8.028445562E0,-6.153918172E-5,2.334244824E-4,5.220220242E-4,5.751356828E-4
8.526065191E0,6.811551486E-2,1.605641321E-1,1.000679022E1,1.000831010E1,8.577853521E0,1.022076116E-2,-1.117512820E-3,2.027264095E-1,2.029869698E-1,8.534060796E0,6.794381912E-2,1.605545935E-1,1.000758192E1,1.000910036E1,8.530093511E0,2.970857049E-4,4.095538645E-4,5.517305947E-4,7.485993142E-4
9.027163823E0,1.032845263E-1,1.314998589E-1,1.000520677E1,1.000660394E1,9.080966314E0,-1.302326775E-1,-6.723411949E-2,2.010067380E-1,2.487663277E-1,9.035098394E0,1.216368931E-1,1.140441255E-1,1.000411936E1,1.000550877E1,9.031161626E0,-3.183060938E-5,1.188342819E-3,-2.104640009E-2,2.107994613E-2
9.528079351E0,3.382882994E-1,-4.941022357E-3,1.000947053E1,1.001518665E1,9.583804448E0,8.075299646E-2,1.092133485E-1,2.255649113E-1,2.633023568E-1,9.536013921E0,3.345205317E-1,1.040666899E-2,1.001345768E1,1.001904921E1,9.532077153E0,-7.791072673E-2,-1.705017298E-1,5.859591116E-2,1.964036711E-1
1.002890332E1,3.085849346E-1,-1.002331112E0,1.002981645E1,1.008449852E1,1.008673414E1,-5.464641342E-2,-4.148381489E-1,3.561339676E-1,5.494618487E-1,1.003683790E1,2.431688588E-1,-1.035058227E0,1.004607985E1,1.010218774E1,1.003290113E1,-1.688613922E-1,5.108070389E-1,4.547872843E-1,7.044639627E-1
1.053024610E1,-4.274861440E0,-1.724178149E0,8.266329520E0,9.464641269E0,1.059024366E1,-1.651819452E-1,8.518029773E-3,-4.025395711E-1,4.351962065E-1,1.053815015E1,-4.314122533E0,-1.714677652E0,8.229567556E0,9.448680058E0,1.053424390E1,-5.808280144E-1,1.095089740E0,3.407827685E-1,1.285579876E0
1.103119214E1,-7.019408310E0,-3.601384894E0,6.636631713E0,1.030955608E1,1.109302076E1,-3.667942380E-1,-4.943850684E-2,2.956245362E-1,4.736834865E-1,1.103921827E1,-7.032857808E0,-3.636716063E0,6.587316880E0,1.029949204E1,1.103531202E1,-4.615205208E-1,5.427119224E-1,-1.534617423E-1,7.287577981E-1
1.153157814E1,-6.606842527E0,-5.867797283E0,4.824755206E0,1.006775426E1,1.159529885E1,-9.200275512E-2,-7.271902221E-1,-1.834492646E-1,7.555949700E-1,1.153954323E1,-6.597904811E0,-5.920002325E0,4.836554516E0,1.009807086E1,1.153557595E1,4.577772379E-1,1.192799166E-2,-6.106193474E-1,7.632550451E-1
1.203215798E1,-5.393392408E0,-5.164302608E0,6.321436501E0,9.783622158E0,1.209789284E1,7.675454730E-2,1.786494028E-1,3.136190914E-1,3.690037996E-1,1.204012307E1,-5.388298769E0,-5.116666580E0,6.348850587E0,9.773532846E0,1.203618630E1,6.581233529E-1,9.520960290E-2,-3.353460988E-1,7.447470861E-1
1.253319558E1,-3.994901989E0,-4.416491356E0,8.047426995E0,1.001127959E1,1.260121926E1,-6.521716950E-3,-3.782724161E-1,1.466932600E-1,4.057726778E-1,1.254122170E1,-3.962327491E0,-4.407792106E0,8.064224566E0,1.000801620E1,1.253725441E1,5.071889582E-1,-4.321663320E-1,-1.689568819E-2,6.665537054E-1
1.303395852E1,-3.479318776E0,-2.649894817E0,9.108296797E0,1.010389391E1,1.310359963E1,-6.388798971E-2,8.210292695E-2,2.467614128E-1,2.677942507E-1,1.304189309E1,-3.471687855E0,-2.637647188E0,9.102974227E0,1.009326206E1,1.303798684E1,9.559793527E-2,-7.922214745E-2,3.282796907E-3,1.242010090E-1
1.353411110E1,-3.097906217E0,-2.681028985E0,9.119065942E0,9.997114734E0,1.360588845E1,-7.985638034E-2,-9.893135102E-2,1.542599278E-1,1.999014233E-1,1.354213723E1,-3.106176230E0,-2.688879296E0,9.120601665E0,1.000318836E1,1.353816994E1,-3.247571179E-2,3.069319770E-2,3.836649737E-3,4.484934919E-2
1.403603371E1,-3.314183213E0,-2.739698309E0,9.014710975E0,9.987731032E0,1.410756691E1,-9.393810457E-2,1.929496181E-2,1.596961791E-1,1.862781057E-1,1.404396828E1,-3.308653745E0,-2.734520370E0,9.014121926E0,9.983946382E0,1.404003151E1,-1.416970820E-2,1.247035770E-3,2.591298067E-2,2.956041772E-2
1.453621682E1,-3.328951452E0,-2.800500596E0,8.998688261E0,9.995054366E0,1.460976418E1,-9.197099247E-2,-7.995743979E-2,1.587992320E-1,2.001725549E-1,1.454424294E1,-3.331193037E0,-2.801683392E0,8.997944247E0,9.995462848E0,1.454027565E1,-4.946476978E-3,7.119446707E-3,1.769782098E-3,8.847953695E-3
1.503679665E1,-3.340121206E0,-2.802074437E0,8.997200233E0,9.997881918E0,1.511272438E1,-6.430148700E-2,-5.520571603E-2,1.661225879E-1,1.864914650E-1,1.504479226E1,-3.339720583E0,-2.800243014E0,8.996570682E0,9.996668372E0,1.504085549E1,8.704611104E-3,-9.120531126E-3,-4.579363936E-3,1.341360938E-2
1.553716286E1,-3.299906216E0,-2.769709750E0,9.019530182E0,9.995628937E0,1.561470803E1,-5.523685425E-2,-5.841369856E-2,1.718302227E-1,1.897073949E-1,1.554509743E1,-3.299143123E0,-2.770291607E0,9.020474510E0,9.996390414E0,1.554119118E1,4.772469620E-3,-2.071111762E-3,2.334244842E-4,5.207730523E-3
1.603893288E1,-3.303038723E0,-2.755906614E0,9.022748671E0,9.995753081E0,1.611669167E1,-5.838348374E-2,-5.732922327E-2,1.698490324E-1,1.885310713E-1,1.604686745E1,-3.303409255E0,-2.755536083E0,9.022539653E0,9.995584706E0,1.604293068E1,2.563820998E-3,-9.426744840E-4,-5.939272011E-4,2.795453955E-3
1.654070290E1,-3.281538396E0,-2.747422408E0,9.032534490E0,9.995174007E0,1.661855324E1,-4.666659189E-2,-5.135271663E-2,1.776882051E-1,1.907563119E-1,1.654866799E1,-3.280835333E0,-2.747156385E0,9.032696001E0,9.995016045E0,1.654473122E1,-7.651304227E-4,1.422466221E-3,-1.356944009E-3,2.109533540E-3
1.704137429E1,-3.276603258E0,-2.745119128E0,9.034324616E0,9.994539969E0,1.712105568E1,-4.316978606E-2,-4.597881105E-2,1.793706228E-1,1.901354828E-1,1.704930886E1,-3.276898958E0,-2.745615138E0,9.034210152E0,9.994669696E0,1.704537209E1,-2.419126454E-4,4.388380286E-3,-4.483872080E-3,6.278655277E-3
1.754167946E1,-3.297798225E0,-2.746139774E0,9.030251590E0,9.998109850E0,1.762371071E1,-5.217492965E-2,-2.699837762E-2,1.795296823E-1,1.888969097E-1,1.754967507E1,-3.298217927E0,-2.745319451E0,9.029812813E0,9.997626709E0,1.754570778E1,-2.427614622E-3,-2.058379525E-3,-4.458407614E-3,5.477922733E-3
1.804277810E1,-3.256724749E0,-2.747007779E0,9.041888754E0,9.995401946E0,1.812657936E1,-3.395552862E-2,-3.799306779E-2,1.853670544E-1,1.922430649E-1,1.805074318E1,-3.255017328E0,-2.747332093E0,9.042775849E0,9.995737416E0,1.804680642E1,-2.841412548E-3,3.454682349E-3,2.436102778E-3,5.093432256E-3
1.854418190E1,-3.264050401E0,-2.744956971E0,9.039151139E0,9.994751978E0,1.863002785E1,-3.651330993E-2,-3.134093434E-2,1.848227382E-1,1.909840844E-1,1.855211647E1,-3.265080574E0,-2.745376671E0,9.039036671E0,9.995100208E0,1.854817971E1,-4.019145177E-3,4.254691698E-3,2.487031756E-3,6.359344019E-3
1.904470070E1,-3.275878317E0,-2.747189014E0,9.033695058E0,9.994302008E0,1.913253029E1,-4.423925612E-2,-3.812900801E-2,1.801834561E-1,1.894122775E-1,1.905272682E1,-3.275315537E0,-2.746979163E0,9.033523362E0,9.993904679E0,1.904875954E1,7.172497731E-4,3.862114089E-4,-2.671649301E-3,2.793083686E-3
1.954628762E1,-3.289261069E0,-2.735456483E0,9.027256449E0,9.989660632E0,1.963616188E1,-3.957643206E-2,-3.615042142E-2,1.756709568E-1,1.836666328E-1,1.955422219E1,-3.285464686E0,-2.734836471E0,9.028534631E0,9.989396694E0,1.955031594E1,9.419738899E-3,-5.771950726E-4,2.905073780E-3,9.874415869E-3
2.004763039E1,-3.292742720E0,-2.713088374E0,9.043739224E0,9.999611107E0,2.013961037E1,-8.382090181E-2,-5.519912392E-2,1.743560284E-1,2.011788048E-1,2.005565651E1,-3.296930188E0,-2.715139186E0,9.043405369E0,1.000124543E1,2.005171974E1,-7.694519748E-3,6.663207922E-3,4.292888402E-3,1.104684864E-2
2.054946144E1,-3.288526618E0,-2.722312238E0,9.035011379E0,9.992838528E0,2.064357766E1,-7.748732343E-2,-3.783628345E-2,1.593628824E-1,1.811971245E-1,2.055748757E1,-3.288965397E0,-2.720585739E0,9.034248287E0,9.991822770E0,2.055352028E1,3.276430896E-3,-9.124775178E-3,-6.499810773E-3,1.167236315E-2
2.105077370E1,-3.283146791E0,-2.716064422E0,9.037491437E0,9.991611996E0,2.114635476E1,-7.458820797E-2,-5.105244924E-2,1.634440649E-1,1.867718279E-1,2.105873879E1,-3.282688934E0,-2.716197963E0,9.037710828E0,9.991696304E0,2.105480202E1,1.695510558E-3,5.156558983E-4,2.694991733E-4,1.792564326E-3
2.155098732E1,-3.280227975E0,-2.710665550E0,9.040725039E0,9.992112516E0,2.164907082E1,-7.261604733E-2,-4.888362733E-2,1.637548568E-1,1.856834739E-1,2.155901345E1,-3.280475979E0,-2.710236311E0,9.040505649E0,9.991878997E0,2.155507668E1,1.500282804E-3,-2.440346858E-3,-3.085447232E-3,4.210240599E-3
2.205199440E1,-3.282774758E0,-2.706716552E0,9.041077967E0,9.992197727E0,2.215123757E1,-7.830397785E-2,-4.652140662E-2,1.623670906E-1,1.861688114E-1,2.205992897E1,-3.282612601E0,-2.706335006E0,9.041020735E0,9.991989321E0,2.205599221E1,-7.130056916E-4,-1.071630576E-3,3.352824378E-3,3.591406482E-3
2.255220803E1,-3.254235132E0,-2.707956575E0,9.049128559E0,9.990485613E0,2.265422829E1,-8.823600508E-2,-4.829748600E-2,1.601004293E-1,1.890777279E-1,2.256026467E1,-3.255770857E0,-2.708691051E0,9.049090404E0,9.991150496E0,2.255629738E1,-3.896066822E-3,5.156559094E-4,5.389983577E-4,3.966832103E-3
2.305342873E1,-3.303731228E0,-2.720251886E0,9.031386691E0,9.994016005E0,2.315740212E1,-4.950283823E-2,-5.709890714E-2,1.695142928E-1,1.855960981E-1,2.306136330E1,-3.302243196E0,-2.720251886E0,9.031453459E0,9.993584544E0,2.305742653E1,2.313024407E-3,-1.347495851E-3,-4.333207198E-3,5.093379193E-3
2.355489357E1,-3.274773493E0,-2.710352628E0,9.040224515E0,9.989785387E0,2.366487892E1,-5.960233365E-2,-5.047281327E-2,1.687478404E-1,1.859456283E-1,2.356291970E1,-3.274492392E0,-2.709848586E0,9.040525004E0,9.989828434E0,2.355898293E1,2.167187808E-3,2.479866649E-4,-5.263786505E-3,5.697863525E-3
2.405648192E1,-3.249294157E0,-2.712945295E0,9.045093738E0,9.986576261E0,2.416842040E1,-7.436157811E-2,-5.341260664E-2,1.590323910E-1,1.835043657E-1,2.406444701E1,-3.251077887E0,-2.713508075E0,9.043901409E0,9.986229829E0,2.406047972E1,3.683862740E-3,1.015396490E-2,-3.507945563E-2,3.670479608E-2
2.455837401E1,-3.281448946E0,-2.777941673E0,9.018576303E0,9.990975210E0,2.467232665E1,-5.457429960E-2,-6.357211247E-2,1.683904231E-1,1.880827005E-1,2.456643065E1,-3.281124632E0,-2.780841425E0,9.018452299E0,9.991563428E0,2.456246336E1,-3.242478264E-3,-1.795246507E-3,4.477505962E-3,5.812455157E-3
2.505989989E1,-3.389149916E0,-2.726022775E0,9.000309807E0,9.996154958E0,2.517556151E1,-7.015350887E-2,-1.108209292E-2,1.636551600E-1,1.784021832E-1,2.506783446E1,-3.390475787E0,-2.723285181E0,8.998726393E0,9.994432697E0,2.506389769E1,-1.984108100E-2,5.008652773E-2,3.745826327E-2,6.561592979E-2
2.556075438E1,-3.752267276E0,-2.837396110E0,8.800036187E0,9.978525106E0,2.567867430E1,-7.940659826E-2,-8.457936181E-2,1.506325858E-1,1.901295669E-1,2.556868895E1,-3.762149318E0,-2.837491496E0,8.797632442E0,9.980153409E0,2.556475218E1,-1.339432111E-2,5.177779419E-2,1.014335476E-2,5.443560833E-2
2.606203612E1,-3.561293941E0,-2.780431272E0,8.913136034E0,9.992877791E0,2.618181761E1,-1.887251901E-2,-3.514342621E-2,1.864652477E-1,1.906843491E-1,2.606997069E1,-3.550820504E0,-2.780812817E0,8.916894267E0,9.992609746E0,2.606603392E1,2.729368810E-2,-6.506813533E-2,-1.361925754E-2,7.186300732E-2
2.656328734E1,-3.457790011E0,-2.697721611E0,8.974345625E0,9.988638198E0,2.668532713E1,-5.686305440E-2,-4.233600601E-2,1.682202930E-1,1.825481069E-1,2.657128294E1,-3.457580161E0,-2.696147735E0,8.974917944E0,9.988654828E0,2.656734618E1,1.157573225E-2,-7.446240960E-3,-1.149933884E-2,1.793540842E-2
2.706484374E1,-3.410449720E0,-2.692151044E0,8.994662923E0,9.989134379E0,2.718847044E1,-6.176299141E-2,-4.512177952E-2,1.689362299E-1,1.854456574E-1,2.707277831E1,-3.410678648E0,-2.692408587E0,8.994405378E0,9.989050052E0,2.706884154E1,6.217579320E-4,3.352824365E-4,-2.302414207E-3,2.408341425E-3
2.756618651E1,-3.421762554E0,-2.689566072E0,8.991753662E0,9.989687610E0,2.769216307E1,-5.649273736E-2,-4.518657639E-2,1.693047872E-1,1.841123761E-1,2.757412108E1,-3.421590858E0,-2.689518379E0,8.992039825E0,9.989873539E0,2.757018431E1,7.639346845E-4,8.551824163E-4,-1.218051377E-3,1.672896388E-3
2.806768187E1,-3.423355509E0,-2.687171872E0,8.993470614E0,9.991134535E0,2.819570311E1,-6.132129639E-2,-4.480461090E-2,1.685163256E-1,1.848391369E-1,2.807570799E1,-3.422983502E0,-2.686685402E0,8.993174910E0,9.990610065E0,2.807174071E1,3.802697011E-3,-1.442987702E-3,-5.827123893E-3,7.106200879E-3
2.856914671E1,-3.383875066E0,-2.684892137E0,9.004287439E0,9.986813732E0,2.869887694E1,-5.730243335E-2,-4.784754344E-2,1.666577052E-1,1.826136549E-1,2.857711180E1,-3.383808296E0,-2.685397685E0,9.004583138E0,9.987193640E0,2.857314452E1,4.137979460E-4,-8.403281366E-4,-9.897197997E-3,9.941423858E-3
2.907015379E1,-3.388339151E0,-2.698370239E0,9.002417842E0,9.990273827E0,2.920220336E1,-5.841283571E-2,-4.889314515E-2,1.678001010E-1,1.842809619E-1,2.907814940E1,-3.388825622E0,-2.698465626E0,9.002551383E0,9.990584929E0,2.907424315E1,1.005847313E-3,5.092897742E-4,-3.331603957E-4,1.175627807E-3
2.957180174E1,-3.390466268E0,-2.695050791E0,9.004668958E0,9.992128068E0,2.970595702E1,-4.386270992E-2,-5.223053221E-2,1.709631360E-1,1.840661829E-1,2.957973631E1,-3.390418575E0,-2.695470492E0,9.004430490E0,9.992010195E0,2.957579955E1,-1.387814650E-3,3.144864388E-3,7.223426645E-3,7.999630867E-3
3.007378539E1,-3.402427727E0,-2.690043004E0,8.999422723E0,9.990117874E0,3.020922240E1,-3.849909767E-2,-5.113406720E-2,1.714575829E-1,1.830152346E-1,3.007979735E1,-3.402649061E0,-2.689856886E0,8.999392467E0,9.990115889E0,3.007586058E1,-2.748382295E-3,6.892261039E-3,7.859521136E-3,1.080874368E-2
3.057390746E1,-3.411881094E0,-2.689205664E0,8.995925640E0,9.989966858E0,3.071355589E1,-5.523180962E-2,-5.777533593E-2,1.679185898E-1,1.859709521E-1,3.057985838E1,-3.411296909E0,-2.689033281E0,8.995992680E0,9.989781323E0,3.057592162E1,3.193662839E-3,-5.166532597E-3,-2.720685417E-3,6.655424144E-3
3.107552489E1,-3.405213010E0,-2.696214506E0,8.998735941E0,9.992111731E0,3.121721800E1,-6.680189996E-2,-6.471179024E-2,1.604691006E-1,1.854735611E-1,3.108156737E1,-3.405413322E0,-2.696281276E0,8.998783636E0,9.992240967E0,3.107760008E1,2.987833375E-3,-2.858388880E-3,-6.820238921E-3,7.975787998E-3
3.157552489E1,-3.397286055E0,-2.697700283E0,9.001001350E0,9.991854916E0,3.172164305E1,-6.799452645E-2,-6.274769041E-2,1.612792545E-1,1.859341986E-1,3.158348998E1,-3.397219628E0,-2.697578532E0,9.001101505E0,9.991889683E0,3.157952269E1,3.140620308E-4,-4.180420257E-4,4.553899416E-3,4.583818712E-3
3.207751015E1,-3.398421497E0,-2.688469128E0,9.000357480E0,9.989172622E0,3.222518471E1,-5.991854365E-2,-6.065815593E-2,1.619343379E-1,1.830092171E-1,3.208352211E1,-3.398674690E0,-2.688544865E0,9.000493767E0,9.989401943E0,3.207955483E1,-6.711166073E-4,2.833603453E-4,5.189968420E-3,5.240845618E-3
3.257897500E1,-3.401330783E0,-2.688116198E0,9.001578445E0,9.991167814E0,3.272841958E1,-5.576757401E-2,-6.092986228E-2,1.640218856E-1,1.836454448E-1,3.258489541E1,-3.401168626E0,-2.687915887E0,9.001320904E0,9.990826685E0,3.258098916E1,-2.546448899E-4,8.106195605E-4,-1.061020931E-5,8.497415303E-4
3.307903603E1,-3.401378476E0,-2.688831596E0,8.999975957E0,9.989932838E0,3.323083046E1,-5.862107731E-2,-5.636703779E-2,1.650328712E-1,1.839823965E-1,3.308507851E1,-3.401368937E0,-2.688822058E0,8.999918725E0,9.989875463E0,3.308114174E1,4.350183535E-4,1.001603230E-3,-2.058379526E-3,2.330102202E-3
3.357937172E1,-3.397372246E0,-2.691398750E0,9.002792233E0,9.991798306E0,3.373537758E1,-5.981602744E-2,-5.803839366E-2,1.653367754E-1,1.851557765E-1,3.358538369E1,-3.397381823E0,-2.691733938E0,9.002744347E0,9.991848708E0,3.358144692E1,1.357146917E-3,-3.153182808E-4,-6.634467021E-3,6.779190661E-3
3.408062294E1,-3.395054356E0,-2.697702534E0,8.999279619E0,9.989545870E0,3.423794106E1,-6.000381424E-2,-5.894732097E-2,1.630456864E-1,1.834642751E-1,3.408660439E1,-3.394863583E0,-2.697521300E0,8.999556241E0,9.989681299E0,3.408266762E1,4.838252908E-4,-6.366120392E-6,4.371403998E-4,6.520883135E-4
3.458150795E1,-3.393461402E0,-2.691597803E0,9.002675402E0,9.990417580E0,3.474102334E1,-5.339311808E-2,-5.915736035E-2,1.658412367E-1,1.839938427E-1,3.458751992E1,-3.393442325E0,-2.691340259E0,9.002675402E0,9.990341716E0,3.458355263E1,-1.442987709E-4,7.405922214E-4,5.542770420E-3,5.593889782E-3
3.508309487E1,-3.396456536E0,-2.688850674E0,9.003495688E0,9.991434809E0,3.524462441E1,-5.416392145E-2,-6.148979020E-2,1.662964745E-1,1.853894337E-1,3.508907631E1,-3.396571000E0,-2.688993753E0,9.003314451E0,9.991348912E0,3.508513955E1,1.209563227E-4,1.252004042E-4,2.548570939E-3,2.554509622E-3
3.558370522E1,-3.398993815E0,-2.688984215E0,9.000166714E0,9.989334109E0,3.574767617E1,-5.409487740E-2,-5.592804268E-2,1.652760897E-1,1.826756347E-1,3.558974770E1,-3.398888890E0,-2.689098678E0,9.000386105E0,9.989526887E0,3.558578042E1,-3.437706013E-4,8.912571108E-4,-1.406913017E-3,1.700565112E-3
3.608565834E1,-3.395340515E0,-2.689680535E0,9.002074462E0,9.989998159E0,3.625158242E1,-5.603591979E-2,-5.423828912E-2,1.655137047E-1,1.829661246E-1,3.609160927E1,-3.395340515E0,-2.689728229E0,9.001969539E0,9.989916453E0,3.608767250E1,1.697632599E-4,8.148636439E-4,-4.432943100E-3,4.510410941E-3
3.658587197E1,-3.392373158E0,-2.700046598E0,9.000206478E0,9.990103299E0,3.675548867E1,-5.455215411E-2,-5.906017621E-2,1.645409989E-1,1.831332363E-1,3.659185341E1,-3.392545540E0,-2.700180674E0,9.000168171E0,9.990163563E0,3.658794716E1,1.314536339E-3,-7.925567552E-4,-3.557983302E-4,1.575672697E-3
3.708697060E1,-3.391458287E0,-2.691120871E0,9.000834465E0,9.987949836E0,3.725811318E1,-5.258011445E-2,-6.042296812E-2,1.649937630E-1,1.834081387E-1,3.709292153E1,-3.391467826E0,-2.690920559E0,9.000786770E0,9.987856124E0,3.708898476E1,4.774591685E-4,-4.031877423E-4,5.090775744E-3,5.128988720E-3
