Time (s),Attitude x (m/s^2),Attitude y (m/s^2),Attitude z (m/s^2),Absolute Attitude (m/s^2)
0.0,0.07659545242,0.1850090851,9.993141451,9.995147386
1.0,-0.656850668625,-0.025744822200000003,9.9218055445,9.9733606685
2.0,-2.20153523275,-0.6963740729,9.8837224955,10.25792243
3.0,-4.635150651,-1.8809983629499998,7.719139973499999,9.602231120999999
4.0,-6.676231443000001,-4.863095826,5.3270129310000005,9.908386013000001
5.0,-3.59715452,-2.806724569,8.878658507499999,10.016514292
6.0,-3.0749991574999997,-2.2037863555,9.250870889,9.994545431999999
7.0,-3.104502219,-2.1746839585,9.242710592000002,9.989744689999998
8.0,-3.0800403445,-2.160318762,9.257118698,9.992394053
9.0,-3.0880289684999997,-2.1580342459999997,9.254013857499999,9.991489986
10.0,-3.066295154,-2.1925355289999997,9.255435102,9.993641220499999
11.0,-3.0830633095,-2.202110266,9.2473444555,9.9933956705
12.0,-3.0819412565,-2.2078578525,9.246986746000001,9.993986357
13.0,-3.0762058045,-2.2130531495,9.2478948325,9.9942088325
14.0,-3.072237761,-2.2104920265,9.247217585000001,9.991813139
15.0,-3.0822389855,-2.2168829150000002,9.24905853,9.9980121745
16.0,-3.0841849275,-2.208555679,9.2477994345,9.995584853499999
17.0,-3.0791389735,-2.2071630375,9.2475657425,9.993506152
18.0,-3.0726097485,-2.202985112,9.249816860500001,9.9926581225
19.0,-3.0811993565,-2.20292788,9.246192161,9.991934418
20.0,-3.067024833,-2.202555873,9.2492254565,9.990299005499999
21.0,-3.0772837265,-2.195473431,9.249974249000001,9.9925876985
22.0,-3.052306686,-2.191343186,9.258787994999999,9.992210291500001
23.0,-2.9392879895,-2.1356517554999996,9.307549714,9.991626714999999
24.0,-2.9507725095,-2.1410983884999997,9.304292164,9.9930804235
25.0,-2.9302215035,-2.105361849,9.3215573185,9.995508131000001
26.0,-2.969182097,-2.1163694399999997,9.306447908500001,9.9952675225
27.0,-2.9599677705,-2.1486720664999996,9.2982971245,9.991826411
28.0,-3.0004116335,-2.130310186,9.290952346000001,9.993129942
29.0,-3.023852861,-2.1244725405000002,9.287322855500001,9.9955741855
30.0,-3.01510591,-2.147436825,9.284461219,9.995177273
31.0,-3.025278848,-2.14761329,9.2832354875,9.9971505945
32.0,-3.0124636805,-2.155029585,9.2864977245,9.9979084465
33.0,-3.020852917,-2.1591025855000003,9.2826774755,9.9977704355
34.0,-3.0208815345,-2.166967196,9.280717314,9.997665109
35.0,-3.013455704,-2.1653837815,9.282439044,9.996673347
36.0,-3.0220595555000003,-2.162975274,9.280321423,9.996783509
37.0,-3.0074654315,-2.1632137405,9.285419842,9.9971691945
38.0,-3.022741569,-2.1556209805,9.2847998475,9.999558882999999
39.0,-2.991063735,-2.151428747,9.294829722,9.998452263499999
40.0,-2.9938871735,-2.146936046,9.293956945,9.997518589
41.0,-3.002123792,-2.1486768485,9.2910619675,9.9976699835
42.0,-2.987911214,-2.1542760320000003,9.2953114205,9.998567104
43.0,-3.000416375,-2.1490011625000003,9.290804420499999,9.99698742
44.0,-2.992981003,-2.153179088,9.293546796000001,9.9982117205
45.0,-2.994321182,-2.149811947,9.293112756500001,9.997481621999999
46.0,-2.999867311,-2.148582683,9.291197689499999,9.997098914
47.0,-2.9960810615,-2.152201377,9.292936295,9.998357138
48.0,-2.994187641,-2.1518675245,9.292998298499999,9.997777326
49.0,-2.9784345720000003,-2.1578196380000003,9.2975482505,9.998583138
50.0,-2.9782151835,-2.1592218185,9.2980013535,9.999241713
51.0,-2.9797699815,-2.1416134820000003,9.302546596500001,10.000161432999999
52.0,-3.0133112975,-2.109265733,9.299444192,10.0004416045
53.0,-3.01994677,-2.1168845375,9.2955833675,10.000460165
54.0,-3.0088103805,-2.1466021934999997,9.289974541,9.998225043
55.0,-3.0147863399999997,-2.1453621700000003,9.2892162295,9.999052703
