,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),Sound pressure level (dB),Attitude x (m/s^2),Attitude y (m/s^2),Attitude z (m/s^2),Absolute Attitude (m/s^2),Tilt up/down (deg)_x,Tilt left/right (deg)_x,Left Pupil X,Left Pupil Y,Right Pupil X,Right Pupil Y,Blinking,Looking Center,Looking Left,Looking Right,Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Absolute (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute Linear acceleration (m/s^2),Event,PositionX,PositionY,Inclination (deg),Rotation (deg),Tilt up/down (deg)_y,Tilt left/right (deg)_y,Tilt up/down (deg),Tilt left/right (deg),isDistracted
0,0.0,0.07661445403,0.1847335619,9.993017938,9.995018948,-35.91186365,0.07659545242,0.1850090851,9.993141451,9.995147386,1.05851466,0.4391555563,265.0,254.625,342.0,249.75,1.0,0.0,0.0,0.0,-0.03426177973,-0.02252484795,0.01823208592,0.0448736814,-0.001793202246,0.01332243788,0.188479051,0.1889578143,97.0,1226.9093105670104,805.2795183634021,1.145959484,22.53062776,67.46937224,89.56084444,88.94148533,22.53062776,0
1,1.0,-0.596781006665,-0.01776097025,9.9391849695,9.980964864,-36.407365725000005,-0.656850668625,-0.0257448222,9.9218055445,9.9733606685,-0.099059911,-3.35815753635,286.2,246.93333333333337,369.93333333333334,244.66666666666663,1.0,1.0,1.0,0.0,-0.11263792281,0.38357902665,0.3527128822,0.56192126055,-0.3445548578999999,-0.014368717492,0.130568108745,0.5156720884,72.0,1283.7223307291667,709.3244900173611,4.1451812375,-42.425405255,-47.57459475000001,93.35815753,90.099059905,-42.425405255,0
2,2.0,-2.2435148409,-0.69965059985,9.8675592475,10.257648374,-48.27237055,-2.20153523275,-0.6963740729,9.8837224955,10.25792243,-4.2521893995,-13.1400783905,289.2857142857143,265.85714285714283,366.7857142857143,264.2857142857143,1.0,1.0,1.0,0.0,-0.0295398681499999,-0.3704191880999999,0.200609244095,0.5336140111000001,0.2422484442499999,-0.179323232525,0.5991402583000001,0.8242538084,22.0,972.281072443182,723.1526988636364,13.718881921,-105.6499708,-164.3500292,103.140078385,94.252189395,-105.6499708,0
3,3.0,-4.5997765600000005,-1.85536323455,7.7520769385,9.609903144,-40.970142425,-4.635150651,-1.88099836295,7.719139973499999,9.602231121,-13.4181850835,-29.84282165,280.14285714285717,280.42857142857144,350.35714285714283,275.7142857142857,1.0,1.0,0.0,0.0,-0.60222773425,0.95568439405,-0.136545895115,1.166512143,0.3136435497,-0.06290392175,0.1364639382999999,1.0920455735,68.0,179.56393612132354,875.884765625,32.075154405,-102.81636187,12.81636189999999,119.84282165,103.4181851,-102.81636187,0
4,4.0,-6.6939971825,-4.8716710745,5.3041774,9.905029739500002,-13.369230955,-6.676231443000001,-4.863095826,5.3270129310000005,9.908386013,-43.03568772,-51.78834419,293.1333333333333,267.53333333333336,368.06666666666666,266.53333333333336,1.0,0.0,1.0,0.0,0.73575609025,0.02579128355,-0.4169099188,0.94712422735,0.151189674535,-0.28466538783,0.03419692055,0.63880840505,34.0,481.89855238970586,465.3406479779411,57.343462745,-126.02100765,-143.97899230000002,141.78834415,133.0356877,-126.02100765,0
5,5.0,-3.6086438265,-2.810354025,8.8734790185,10.016948689,-45.587841645,-3.59715452,-2.806724569,8.878658507499999,10.016514292,-17.679892695,-22.217524895,289.73333333333335,260.8666666666667,375.4,260.06666666666666,1.0,1.0,1.0,0.0,0.266516647725,-0.22393153154,-0.10604155941,0.3671189485,-0.04383229635,-0.3611846125,0.12416707767,0.5151723854,72.0,230.52159288194449,53.636555989583336,27.34562892,-127.43263805,-142.5673619,112.2175249,107.67989265,-127.43263805,0
6,6.0,-3.073849749,-2.2026989495,9.250703962,9.993797277,-35.16664731,-3.0749991574999997,-2.2037863555,9.250870889,9.994545432,-13.39175098,-18.378982235,295.1333333333333,262.73333333333335,374.8666666666667,262.0,1.0,0.0,0.0,0.0,-0.005838795155,0.0136415389335,-0.0042111898821999,0.0173082948,-0.04807347905,-0.030383799655,0.1814088676999999,0.1907947421,53.0,555.4974941037735,175.63716096698113,22.2320046,-125.62454525,-144.37545475000002,108.37898225,103.391751,-125.62454525,0
7,7.0,-3.1040300565,-2.175213353,9.242810747,9.989808158,-36.938211415,-3.104502219,-2.1746839585,9.242710592000002,9.989744689999998,-13.28785693,-18.63061387,306.6,259.93333333333334,389.26666666666665,258.93333333333334,1.0,0.0,1.0,0.0,0.000972955679,-0.00268756461135,-0.004208006791,0.008163803231,-0.066000030885,-0.00910306746,0.17420319585,0.1865410868499999,92.0,403.4770720108696,663.3674847146739,22.37313608,-125.0118316,-144.9881684,108.6306139,103.2878569,-125.0118316,0
8,8.0,-3.0808892855,-2.16033307,9.2568325405,9.992393867,-39.114313955,-3.0800403445,-2.160318762,9.257118698,9.992394053,-13.136550745,-18.410046825,309.3333333333333,254.8,392.0,254.33333333333337,1.0,0.0,1.0,0.0,-0.0038515039491,-0.0026780154225,0.001420706266,0.006344552937,-0.063551331265,-0.0085729169315,0.17759985545,0.18883529255,58.0,1139.3052262931035,833.0575161637931,22.122604265,-125.0364039,-144.96359610000002,108.41004685,103.1365507,-125.0364039,0
9,9.0,-3.0883389745,-2.1578005495,9.254228476000002,9.9917337465,-51.62363112,-3.0880289684999997,-2.1580342459999997,9.2540138575,9.991489986,-13.124633135,-18.455260505,297.8,250.33333333333337,379.4,248.4,1.0,0.0,1.0,0.0,-0.0031056066404999,-0.0033825329705,0.0005602187634,0.0049587646065,-0.06912923616,-0.01317829555775,0.1737375941,0.1878668718,0.0,0.0,0.0,22.151725300000003,-124.94031765,-145.0596823,108.4552605,103.12463315,-124.94031765,0
