Time (s),Left Pupil X,Left Pupil Y,Right Pupil X,Right Pupil Y,Blinking,Looking Center,Looking Left,Looking Right
0,272.375,251.5625,352.5,247.5625,11,2,3,0
1,298.2,249.33333333333334,380.2,248.0,9,3,3,0
2,272.57142857142856,283.7142857142857,344.07142857142856,279.35714285714283,13,1,0,0
3,289.92857142857144,272.2857142857143,361.07142857142856,270.07142857142856,12,1,1,0
4,292.93333333333334,262.26666666666665,375.6666666666667,261.53333333333336,8,3,4,0
5,292.6,262.26666666666665,374.8666666666667,261.6666666666667,15,0,0,0
6,299.8,261.3333333333333,381.3333333333333,260.6666666666667,14,0,1,0
7,310.8666666666667,257.8,393.73333333333335,257.73333333333335,13,0,2,0
8,301.8,251.93333333333334,383.93333333333334,250.06666666666666,13,0,2,0
9,301.0,249.13333333333333,381.53333333333336,247.73333333333332,11,0,4,0
10,298.93333333333334,247.53333333333333,379.26666666666665,247.0,10,2,3,0
11,299.73333333333335,249.33333333333334,381.4,248.0,14,0,1,0
12,292.7142857142857,251.64285714285714,377.0,249.85714285714286,12,2,0,0
13,297.7,228.9,380.6,244.1,0,2,8,0
14,286.06666666666666,228.0,373.26666666666665,243.93333333333334,3,8,4,0
15,282.07142857142856,225.64285714285714,372.14285714285717,239.42857142857142,0,1,13,0
16,281.07142857142856,225.14285714285714,370.35714285714283,238.85714285714286,0,2,12,0
17,278.1666666666667,225.33333333333334,368.6666666666667,239.0,0,4,2,0
18,265.2307692307692,245.15384615384616,360.9230769230769,242.46153846153845,0,13,0,0
19,267.7142857142857,242.14285714285714,361.85714285714283,242.85714285714286,1,6,0,0
20,265.6666666666667,247.33333333333334,364.0,245.33333333333334,0,3,0,0
21,293.77777777777777,229.0,380.8888888888889,238.77777777777777,0,1,8,0
22,308.53846153846155,215.0,403.0769230769231,230.15384615384616,5,2,6,0
23,293.0,209.0,394.0,231.5,0,1,3,0
24,286.2,211.2,383.3333333333333,229.0,0,4,11,0
25,285.6,212.46666666666667,380.6666666666667,232.66666666666666,0,3,12,0
26,281.53333333333336,220.86666666666667,377.0,230.66666666666666,6,2,7,0
27,285.3333333333333,217.91666666666666,377.0833333333333,230.91666666666666,2,1,9,0
28,282.27272727272725,214.1818181818182,372.54545454545456,229.54545454545453,0,3,8,0
29,284.0,214.46666666666667,378.6,234.4,0,9,6,0
30,284.2,215.13333333333333,380.6,235.33333333333334,0,3,12,0
31,286.8333333333333,216.66666666666666,379.6666666666667,231.83333333333334,0,2,4,0
32,,,,,0,0,0,0
33,,,,,0,0,0,0
34,292.0,224.0,389.0,243.0,0,0,1,0
35,,,,,0,0,0,0
36,284.6666666666667,263.0,383.0,256.6666666666667,3,0,0,0
37,281.0,263.0,381.0,256.0,1,0,0,0
38,283.8333333333333,260.8333333333333,383.4166666666667,248.75,0,0,12,0
39,284.85714285714283,261.7857142857143,385.07142857142856,251.21428571428572,0,6,8,0
40,284.93333333333334,263.6,386.0,253.86666666666667,0,8,7,0
41,286.2,264.8,387.26666666666665,254.6,0,2,13,0
42,285.6666666666667,265.2,387.1333333333333,256.3333333333333,0,10,5,0
43,284.4,265.73333333333335,385.6666666666667,256.8666666666667,4,11,0,0
44,285.3333333333333,266.4,386.46666666666664,257.53333333333336,2,5,8,0
45,287.2,267.06666666666666,388.3333333333333,257.8,3,2,10,0
46,286.3333333333333,268.0,387.3333333333333,258.73333333333335,3,8,4,0
47,284.2857142857143,267.35714285714283,386.35714285714283,258.92857142857144,7,7,0,0
48,283.5,263.875,386.875,254.625,3,5,0,0
49,,,,,0,0,0,0
50,286.92857142857144,225.21428571428572,383.5,225.64285714285714,12,2,0,0
51,282.3333333333333,230.0,379.1333333333333,230.26666666666668,14,1,0,0
52,283.75,211.75,378.0,225.25,1,4,7,0
53,283.3,211.1,378.4,227.9,0,2,8,0
54,284.5,212.75,379.9166666666667,228.75,0,2,10,0
55,286.46666666666664,213.6,382.1333333333333,231.26666666666668,0,2,13,0
56,288.5,214.21428571428572,383.7142857142857,232.5,0,0,14,0
57,289.0,214.8,383.8666666666667,234.06666666666666,0,0,15,0
58,285.0,213.0,383.0,230.0,0,0,1,0
59,332.6,262.8,442.2,266.0,1,0,4,0
60,290.6666666666667,222.33333333333334,394.0,230.33333333333334,3,0,0,0
61,,,,,0,0,0,0
62,,,,,0,0,0,0
63,323.57142857142856,277.7142857142857,435.7142857142857,270.0,5,1,1,0
64,325.2,278.3333333333333,433.8666666666667,269.3333333333333,4,3,8,0
65,322.93333333333334,280.8666666666667,432.6666666666667,272.53333333333336,11,3,1,0
66,325.26666666666665,282.73333333333335,434.46666666666664,274.4,7,2,6,0
67,327.1333333333333,285.46666666666664,436.8,276.8,0,6,9,0
68,327.93333333333334,289.06666666666666,437.93333333333334,280.2,0,6,9,0
69,329.3333333333333,292.53333333333336,440.6,284.6666666666667,3,3,9,0
