Time (s),Tilt up/down (deg),Tilt left/right (deg)
0.0,67.46937224,89.56084444
1.0,-47.57459475000001,93.35815753
2.0,-164.3500292,103.14007838500001
3.0,12.81636189999999,119.84282164999999
4.0,-143.97899230000002,141.78834415
5.0,-142.5673619,112.2175249
6.0,-144.37545475000002,108.37898225
7.0,-144.9881684,108.6306139
8.0,-144.96359610000002,108.41004685
9.0,-145.0596823,108.45526050000001
10.0,-144.42642965,108.32536695
11.0,-144.46693125,108.44004665
12.0,-144.3853159,108.43331245
13.0,-144.2628439,108.39613034999999
14.0,-144.28866979999998,108.39480470000001
15.0,-144.2573304,108.41823224999999
16.0,-144.38729135,108.44064660000001
17.0,-144.3646769,108.415897
18.0,-144.361986,108.37616729999999
19.0,-144.4518043,108.427627
20.0,-144.31859145,108.346385
21.0,-144.49160895,108.40120304999999
22.0,-144.3229328,108.25564664999999
23.0,-143.99357279999998,107.51102405
24.0,-144.03468974999998,107.60449835
25.0,-144.30865695,107.45515499999999
26.0,-144.52653275,107.6946864
27.0,-144.0375049,107.66248365
28.0,-144.3909548,107.8391718
29.0,-144.9188503,108.0396975
30.0,-144.53421685,107.98652204999999
31.0,-144.62916595000002,108.0492482
32.0,-144.42396624999998,107.97225775
33.0,-144.4404558,108.02584325000001
34.0,-144.3454784,108.03194225
35.0,-144.292437,107.9877759
36.0,-144.4122375,108.0392969
37.0,-144.2702264,107.947338
38.0,-144.50215485,108.0304343
39.0,-144.27915675,107.84135069999999
40.0,-144.35437280000002,107.8545987
41.0,-144.40988245,107.90755920000001
42.0,-144.2581672,107.8358314
43.0,-144.39146845,107.89753675
44.0,-144.26902785,107.8526445
45.0,-144.31760244999998,107.85819405000001
46.0,-144.39227635,107.89477600000001
47.0,-144.3080079,107.8682362
48.0,-144.3650783,107.8918739
49.0,-144.0865533,107.76526895
50.0,-144.05624095,107.76074485000001
51.0,-144.29424104999998,107.7656954
52.0,-144.97660000000002,107.93377380000001
53.0,-144.99769675,108.01304925
54.0,-144.5824829,107.9715536
55.0,-144.567002,107.9813051
56.0,-144.59645705,108.0155017
57.0,-144.4461003,107.964653
58.0,-144.44422865,107.9754729
59.0,-143.0923009,107.64318595
60.0,-142.9570677,107.4742004
61.0,-143.55073645,107.72337175000001
62.0,-143.65606250000002,107.75676135
63.0,-143.2577523,107.7634683
64.0,-143.3188035,107.73462745
65.0,-143.59492855000002,107.9463954
66.0,-143.8103134,107.9972843
67.0,-143.7959629,108.0684975
68.0,-143.6942792,108.03025604999999
69.0,-143.81302045,108.08888465
70.0,-143.84700794999998,108.1018785
71.0,-143.74678419999998,108.05749589999999
72.0,-143.8459894,108.1128807
73.0,-143.816728,108.1021814
74.0,-143.70854105,108.0366792
75.0,-143.7717483,108.04854705
76.0,-143.6527564,107.97103734999999
77.0,-143.61595154999998,107.925107
78.0,-143.7483469,107.9702852
79.0,-143.6356814,107.9228588
80.0,-143.68520395000002,107.94663105000001
81.0,-143.73471905,108.02928555
82.0,-143.62799875000002,107.97229165
83.0,-143.82637575,107.9970971
84.0,-143.90963520000003,108.14588455
85.0,-143.6253895,108.0223145
86.0,-143.9090577,108.05905655000001
87.0,-143.8612678,108.0702258
88.0,-142.87849355,107.31393015
89.0,-142.99711525,107.2371947
90.0,-143.49505075000002,107.63658104999999
91.0,-143.42384535000002,107.78655155000001
92.0,-143.6165421,107.9274806
93.0,-143.4592552,107.82310575
94.0,-143.9866401,107.95755500000001
95.0,-144.07578080000002,107.9975751
96.0,-144.11146904999998,108.00460445
97.0,-144.13251035,108.0085229
98.0,-144.1487023,108.005517
99.0,-144.11344150000002,107.99806365
100.0,-144.1643048,108.0116572
101.0,-144.16958605000002,108.0120929
102.0,-144.0301174,107.97331650000001
103.0,-144.14588375,108.0161956
104.0,-144.1760409,108.0298194
105.0,-143.99774265,107.9738296
106.0,-144.1198114,108.01055375
107.0,-144.16036945000002,108.02912125
108.0,-144.0622535,107.9872297
109.0,-144.0830999,107.99936084999999
110.0,-144.12731855,108.0115509
111.0,-144.0363865,107.9945696
112.0,-144.081687,108.0056496
113.0,-144.07188125,108.00967065
114.0,-143.96373585,107.96587575
115.0,-144.1429603,108.0282919
116.0,-144.1390885,108.0280849
117.0,-144.1880071,108.0317893
118.0,-144.214915,108.039436
119.0,-144.10938585,107.9828497
120.0,-144.1183197,107.97814285
121.0,-144.191255,108.02427625
122.0,-144.0276045,107.97055895
123.0,-143.7972477,107.9275043
124.0,-144.4015464,108.6953869
125.0,-143.64240115,110.5161311
126.0,-143.48987535,111.3653609
127.0,-144.17836575,111.13415645
128.0,-144.0896356,111.08189765
129.0,-144.3539589,111.1068428
130.0,-144.3435283,111.09677275
131.0,-144.1828184,111.03328515
132.0,-144.4021333,111.08083165
133.0,-144.2651659,111.04436734999999
134.0,-144.4756739,111.42983129999999
135.0,-145.1122964,112.103488
136.0,-149.2849705,111.7117787
137.0,-147.39989515000002,110.1428003
138.0,-146.22368505,110.9631353
139.0,-143.40662120000002,112.6852463
140.0,-143.9219679,116.2980407
141.0,-149.41374150000001,124.09594055
142.0,-150.5051831,123.0946224
143.0,-143.6328919,117.4045516
144.0,-164.2305918,124.40274025000001
145.0,76.210075445,87.637565965
146.0,63.171496149999996,84.18461976
147.0,55.59531563,83.183071885
148.0,93.76678272000001,91.164674225
149.0,9.835893799999994,105.56251904
150.0,-141.4204692,132.6213041
151.0,-140.18563,124.724268
152.0,-152.20380699999998,116.59430255000001
153.0,-151.92326225,117.38868554999999
154.0,-149.8875403,116.9956141
155.0,-149.30849984999998,116.4348406
156.0,-149.32863415,116.470523
157.0,-149.4345255,116.5094113
158.0,-149.33316965,116.49375330000001
159.0,-149.4360738,116.5084257
