"t (s)","Tilt up/down (deg)","Tilt left/right (deg)"
5.064186720E-1,1.058514660E0,4.391555563E-1
1.007608857E0,1.105327342E0,3.088663333E-1
1.509226289E0,-1.303447164E0,-7.025181406E0
2.011118379E0,-7.350707337E0,-2.128738861E1
2.511820283E0,-1.153671462E0,-4.992768171E0
3.013040986E0,1.680026393E0,-1.750358298E1
3.514231172E0,-2.851639656E1,-4.218206032E1
4.014719453E0,-5.060515624E1,-5.912145103E1
4.516367402E0,-3.546621920E1,-4.445523735E1
5.017588105E0,-2.204409524E1,-2.521712782E1
5.517679658E0,-1.331569015E1,-1.921792197E1
6.018930879E0,-1.338844187E1,-1.834996917E1
6.519876924E0,-1.339506009E1,-1.840799530E1
7.021158662E0,-1.328785693E1,-1.863061387E1
8.022715058E0,-1.317886244E1,-1.838719968E1
8.524057832E0,-1.309423905E1,-1.843289397E1
9.024668183E0,-1.308964288E1,-1.848044321E1
9.526071992E0,-1.315962339E1,-1.843007780E1
1.002680441E1,-1.325313898E1,-1.840837193E1
1.052744528E1,-1.340098329E1,-1.824236200E1
1.102936789E1,-1.337678140E1,-1.844064026E1
1.153016135E1,-1.341149234E1,-1.843945303E1
1.203135153E1,-1.342617423E1,-1.843574730E1
1.253214499E1,-1.342978679E1,-1.843087756E1
1.303281638E1,-1.346712363E1,-1.840813753E1
1.353406760E1,-1.344964333E1,-1.838412317E1
1.403495261E1,-1.345175916E1,-1.849670446E1
1.453559664E1,-1.343786836E1,-1.829290495E1
1.503675314E1,-1.348838241E1,-1.851373690E1
1.553791281E1,-1.346666388E1,-1.832272760E1
1.603842664E1,-1.343937878E1,-1.842464758E1
1.653852316E1,-1.342572725E1,-1.845664563E1
1.703921691E1,-1.340664433E1,-1.843950664E1
1.754035291E1,-1.344274380E1,-1.839228737E1
1.804111716E1,-1.338237573E1,-1.834734047E1
1.854136130E1,-1.340972535E1,-1.840499408E1
1.954401633E1,-1.339200800E1,-1.842762705E1
2.004508444E1,-1.340940136E1,-1.834124236E1
2.054621359E1,-1.337911752E1,-1.835152764E1
2.104682394E1,-1.336151825E1,-1.838752659E1
2.154739075E1,-1.334493370E1,-1.841487953E1
2.204834982E1,-1.340017920E1,-1.836485399E1
2.254991156E1,-1.324735414E1,-1.814643929E1
2.305077541E1,-1.294693039E1,-1.774047717E1
2.355182679E1,-1.287846126E1,-1.728157092E1
2.405243918E1,-1.308944859E1,-1.765582605E1
2.455252252E1,-1.284325836E1,-1.755317075E1
2.505285791E1,-1.273504605E1,-1.746743448E1
2.555327491E1,-1.272113140E1,-1.744287554E1
2.605381247E1,-1.270676300E1,-1.763854798E1
2.655410602E1,-1.291020190E1,-1.775082484E1
2.705497214E1,-1.303245668E1,-1.769873739E1
2.755605517E1,-1.298480253E1,-1.762622988E1
2.805759665E1,-1.297870609E1,-1.783917178E1
2.906046530E1,-1.285733602E1,-1.798652947E1
2.956207763E1,-1.291051591E1,-1.809286548E1
3.006357299E1,-1.302178409E1,-1.797917545E1
3.056543456E1,-1.302356263E1,-1.799386874E1
3.106653320E1,-1.301433627E1,-1.804208312E1
3.156775390E1,-1.303638077E1,-1.805641327E1
3.206778442E1,-1.305137450E1,-1.800818535E1
3.256937133E1,-1.307505580E1,-1.793633025E1
3.307089721E1,-1.309674038E1,-1.799131879E1
3.357260620E1,-1.309472562E1,-1.806036769E1
3.407410156E1,-1.310512055E1,-1.808216798E1
3.457602416E1,-1.318415032E1,-1.798171653E1
3.557858764E1,-1.313623201E1,-1.798777594E1
3.607980834E1,-1.313495754E1,-1.804638096E1
3.658105957E1,-1.310311651E1,-1.803221282E1
3.708258544E1,-1.314265430E1,-1.793442180E1
3.758368408E1,-1.308959091E1,-1.796025423E1
3.808530151E1,-1.307339266E1,-1.803136940E1
3.858685790E1,-1.306748330E1,-1.802949925E1
