Timestamp,Left Pupil X,Left Pupil Y,Right Pupil X,Right Pupil Y,Blinking,Looking Center,Looking Left,Looking Right
"2024-06-08 21:42:05,860",282,277,342,268,0,1,0,0
"2024-06-08 21:42:05,951",286,274,346,265,0,0,1,0
"2024-06-08 21:42:06,006",286,273,348,265,0,0,1,0
"2024-06-08 21:42:06,054",287,273,348,264,0,0,1,0
"2024-06-08 21:42:06,113",288,273,348,264,0,0,1,0
"2024-06-08 21:42:06,166",288,273,349,264,0,0,1,0
"2024-06-08 21:42:06,217",290,271,351,264,0,0,1,0
"2024-06-08 21:42:06,272",,,,,0,0,0,0
"2024-06-08 21:42:06,327",291,271,351,263,0,0,1,0
"2024-06-08 21:42:06,376",292,269,352,263,0,0,1,0
"2024-06-08 21:42:06,430",293,270,353,262,0,0,1,0
"2024-06-08 21:42:06,478",293,269,354,263,0,0,1,0
"2024-06-08 21:42:06,531",295,270,355,262,0,0,1,0
"2024-06-08 21:42:06,580",294,270,356,263,0,0,1,0
"2024-06-08 21:42:06,629",296,270,356,263,0,0,1,0
"2024-06-08 21:42:06,693",295,269,357,263,0,0,1,0
"2024-06-08 21:42:06,760",298,267,359,262,0,0,1,0
"2024-06-08 21:42:06,817",298,268,360,263,0,0,1,0
"2024-06-08 21:42:06,878",300,267,359,263,0,0,1,0
"2024-06-08 21:42:06,934",299,268,359,263,0,0,1,0
"2024-06-08 21:42:06,992",300,267,359,262,0,0,1,0
"2024-06-08 21:42:07,051",299,269,361,263,0,0,1,0
"2024-06-08 21:42:07,111",299,269,361,263,0,0,1,0
"2024-06-08 21:42:07,170",300,268,360,263,0,0,1,0
"2024-06-08 21:42:07,221",300,269,360,263,0,1,0,0
"2024-06-08 21:42:07,266",301,268,361,263,0,0,1,0
"2024-06-08 21:42:07,315",300,268,361,263,0,0,1,0
"2024-06-08 21:42:07,360",300,269,360,263,0,0,1,0
"2024-06-08 21:42:07,408",299,269,360,263,0,1,0,0
"2024-06-08 21:42:07,455",,,,,0,0,0,0
"2024-06-08 21:42:07,502",300,269,360,263,0,0,1,0
"2024-06-08 21:42:07,546",300,269,360,263,0,0,1,0
"2024-06-08 21:42:07,602",299,268,361,263,0,0,1,0
"2024-06-08 21:42:07,661",,,,,0,0,0,0
"2024-06-08 21:42:07,726",300,271,361,263,0,0,1,0
"2024-06-08 21:42:07,778",299,269,360,263,0,0,1,0
"2024-06-08 21:42:07,838",,,,,0,0,0,0
"2024-06-08 21:42:07,889",,,,,0,0,0,0
"2024-06-08 21:42:07,962",300,270,360,263,0,0,1,0
