Time,Event,Key/Button,PositionX,PositionY
2024-06-08 21:42:20, Mouse Move,,,1218,753
2024-06-08 21:42:20, Mouse Move,,,1211,760
2024-06-08 21:42:20, Mouse Move,,,1203,766
2024-06-08 21:42:20, Mouse Move,,,1197,772
2024-06-08 21:42:20, Mouse Move,,,1192,777
2024-06-08 21:42:20, Mouse Move,,,1188,781
2024-06-08 21:42:20, Mouse Move,,,1184,785
2024-06-08 21:42:20, Mouse Move,,,1182,788
2024-06-08 21:42:20, Mouse Move,,,1179,793
2024-06-08 21:42:20, Mouse Move,,,1176,798
2024-06-08 21:42:20, Mouse Move,,,1173,803
2024-06-08 21:42:20, Mouse Move,,,1169,810
2024-06-08 21:42:20, Mouse Move,,,1168,816
2024-06-08 21:42:20, Mouse Move,,,1166,822
2024-06-08 21:42:20, Mouse Move,,,1164,828
2024-06-08 21:42:20, Mouse Move,,,1163,838
2024-06-08 21:42:20, Mouse Move,,,1161,857
2024-06-08 21:42:20, Mouse Move,,,1157,907
2024-06-08 21:42:20, Mouse Move,,,1157,983
2024-06-08 21:42:20, Mouse Move,,,1167,1063
2024-06-08 21:42:20, Mouse Move,,,1186,1140
2024-06-08 21:42:20, Mouse Move,,,1216,1147
2024-06-08 21:42:20, Mouse Move,,,1249,1142
2024-06-08 21:42:20, Mouse Move,,,1247,1078
2024-06-08 21:42:20, Mouse Move,,,1243,1077
2024-06-08 21:42:20, Mouse Move,,,1241,1076
2024-06-08 21:42:20, Mouse Move,,,1238,1075
2024-06-08 21:42:20, Mouse Move,,,1237,1073
2024-06-08 21:42:20, Mouse Move,,,1236,1073
2024-06-08 21:42:20, Mouse Move,,,1234,1072
2024-06-08 21:42:20, Mouse Move,,,1233,1072
2024-06-08 21:42:20, Mouse Move,,,1232,1071
2024-06-08 21:42:20, Mouse Move,,,1231,1071
2024-06-08 21:42:21, Mouse Move,,,1229,1070
2024-06-08 21:42:21, Mouse Move,,,1228,1070
2024-06-08 21:42:21, Mouse Move,,,1227,1070
2024-06-08 21:42:21, Mouse Move,,,1226,1070
2024-06-08 21:42:21, Mouse Move,,,1224,1070
2024-06-08 21:42:21, Mouse Move,,,1223,1070
2024-06-08 21:42:21, Mouse Move,,,1222,1070
2024-06-08 21:42:21, Mouse Move,,,1221,1070
2024-06-08 21:42:21, Mouse Move,,,1217,1070
