Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),Sound pressure level (dB),Attitude x (m/s^2),Attitude y (m/s^2),Attitude z (m/s^2),Absolute Attitude (m/s^2),Tilt up/down (deg)_x,Tilt left/right (deg)_x,Left Pupil X,Left Pupil Y,Right Pupil X,Right Pupil Y,Blinking,Looking Center,Looking Left,Looking Right,Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Absolute (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute Linear acceleration (m/s^2),Mouse Move,Key Press,Mouse Scroll,Mouse Click,PositionX,PositionY,Inclination (deg),Rotation (deg),Tilt up/down (deg)_y,Tilt left/right (deg)_y,Tilt up/down (deg),Tilt left/right (deg),isDistracted
0.0,-7.128012798,-2.20307829,6.253643558,9.734997594,-72.01522139,-7.128012798,-2.20307829,6.253643558,9.734997594,-19.40670608,-48.73844252,709.7142857142857,262.14285714285717,830.2857142857143,256.57142857142856,0.0,7.0,0.0,0.0,0.01834255645,0.1052932184,0.2629466463,0.28383807,0.02152138562,0.2298414898,0.01222971016,0.2311706,52.0,0.0,0.0,0.0,410.7548076923077,310.96597055288464,50.02989794,-107.1749816,-162.8250184,138.7384425,109.4067061,-107.1749816,0
1.0,-7.1589584575,-2.585347272,5.961695238,9.700180541,-65.619969485,-7.1589584575,-2.585347272,5.961695238,9.700180541,-23.74669665,-50.27060357,706.875,280.75,829.125,275.0,0.0,8.0,0.0,0.0,0.0724360963275,0.0868355938,-0.37092794025,0.44757105105,0.0391274289,0.0548036449999999,-0.04131335315,0.37102467785,78.0,0.0,0.0,0.0,173.38957331730768,357.57927684294873,51.958958375,-109.7235598,-160.27644020000002,140.27060360000002,113.74669665,-109.7235598,0
2.0,-6.4416926665,-5.4283910145,4.859230472,9.7742267345,-56.89499083,-6.4416926665,-5.4283910145,4.859230472,9.7742267345,-48.007916015,-53.134749455,714.0,247.0,844.3333333333334,249.66666666666663,0.0,6.0,0.0,0.0,-0.0856966176645,0.102613745335,-0.3407162779,0.3741344887,0.09057546856,-0.161445029315,-0.02927998684,0.220042574895,58.0,0.0,0.0,1.0,332.71047404661016,759.1898834745763,60.11740425,-129.9381597,-140.0618403,143.13474945000002,138.007916,-129.9381597,0
3.0,-6.195186162000001,-6.2295998925,4.289817514,9.77900505,-53.122587095,-6.195186162000001,-6.2295998925,4.289817514,9.77900505,-55.440541034999995,-55.309027615000005,736.8,208.4,887.4,214.2,0.0,2.0,3.0,0.0,0.0117964378499999,-0.0268709849515,0.116075120145,0.1278310083,0.027926233166,0.0013314855275499,-0.0223578064499999,0.036199734775,8.0,0.0,0.0,0.0,537.52783203125,579.36279296875,63.975453305,-135.15158359999998,-134.84841640000002,145.30902765000002,145.440541,-135.15158359999998,0
4.0,-6.862247529999999,-5.6266684005,3.9736925465,9.735711136,-53.378346375,-6.862247529999999,-5.6266684005,3.9736925465,9.735711136,-54.856531835,-59.913992095,724.1428571428571,221.57142857142856,877.5714285714286,224.1428571428571,1.0,0.0,6.0,0.0,-0.04912110776,0.13648999,0.08990292589,0.17215944575,0.0774211595,0.044709089235,0.030202582884,0.11909817435,11.0,1.0,0.0,0.0,553.0490056818181,554.5340909090909,65.86555843,-129.37330079999998,-140.62669920000002,149.91399205,144.8565318,-129.37330079999998,0
5.0,-7.678730527000001,-5.1633979525,3.1309083600000003,9.76875624,-69.47003957000001,-7.678730527000001,-5.1633979525,3.1309083600000003,9.76875624,-58.76820532,-67.81792239500001,709.8333333333334,231.83333333333337,862.1666666666666,235.16666666666663,0.0,5.0,1.0,0.0,0.0316542704645,0.0324236315425,0.0244558414705,0.054152409166,0.0075787768449999,0.035530892545,-0.049644047531,0.075782051635,38.0,0.0,0.0,0.0,629.0564350328947,420.2064144736842,71.30650316500001,-123.9177411,-146.08225879999998,157.8179224,148.7682053,-123.9177411,0
6.0,-7.684440711500001,-5.125400497999999,3.158944177,9.76213578,-74.154418045,-7.684440711500001,-5.125400497999999,3.158944177,9.76213578,-58.35316625,-67.65326062,692.2857142857143,245.1428571428571,845.7142857142857,248.1428571428571,3.0,4.0,0.0,0.0,-0.002268672304,-0.00151992251415,0.001606143411,0.006905680441,0.03428674263,0.03531585832,-0.007169385763,0.04976182629,0.0,0.0,0.0,0.0,0.0,0.0,71.11973377000001,-123.70265595,-146.297344,157.65326065,148.35316625000002,-123.70265595,0
7.0,-7.698644997500001,-5.1068757855,3.1496209175,9.7606261815,-72.86052584999999,-7.698644997500001,-5.1068757855,3.1496209175,9.7606261815,-58.336428729999994,-67.749859255,653.0,248.5,801.75,249.5,2.0,6.0,0.0,0.0,0.001076230076,0.007283669655,0.004662028353,0.0094053396335,0.03593629376,0.034140550775,-0.009671062518,0.05127557699,0.0,0.0,0.0,0.0,0.0,0.0,71.17454126,-123.5582165,-146.4417835,157.74985925,148.3364287,-123.5582165,1
8.0,-7.801256615,-4.8967069510000005,3.213425001,9.7559973155,-72.271746965,-7.801256615,-4.8967069510000005,3.213425001,9.7559973155,-56.713551205,-67.613152095,628.2857142857143,246.8571428571429,782.8571428571429,245.8571428571429,0.0,7.0,0.0,0.0,0.050380458315,0.02200666634,0.01278932416,0.058136755715,0.02346659618,0.05344980816,-0.0256092367,0.066913583925,59.0,0.0,0.0,0.0,654.5325741525423,321.12698622881356,70.768457485,-122.1137443,-147.8862557,157.6131521,146.71355119999998,-122.1137443,1
9.0,-7.861004427999999,-4.788558318,3.2688905425,9.7679264285,-67.99812221,-7.861004427999999,-4.788558318,3.2688905425,9.7679264285,-55.6804524,-67.42058033,620.0,251.8571428571429,777.7142857142857,250.8571428571429,0.0,7.0,0.0,0.0,0.0122421999249999,0.00279292911,0.006104421947,0.020618701465,0.03573525846,0.02443690149,-0.00376371800025,0.04516495393,44.0,0.0,0.0,0.0,682.6535866477273,278.6349431818182,70.44843470999999,-121.34777875,-148.65222125,157.42058035000002,145.6804524,-121.34777875,1
