Time (s),Tilt up/down (deg),Tilt left/right (deg)
0.0,-19.40670608,-48.73844252
1.0,-23.74669665,-50.27060357
2.0,-48.007916015,-53.134749455
3.0,-55.440541034999995,-55.309027615000005
4.0,-54.856531835,-59.913992095
5.0,-58.76820532,-67.81792239500001
6.0,-58.35316625,-67.65326062
7.0,-58.336428729999994,-67.749859255
8.0,-56.713551205,-67.613152095
9.0,-55.6804524,-67.42058033
10.0,-56.44336006,-68.34721770499999
11.0,-56.385900015000004,-68.425245295
12.0,-56.7463726,-68.70110879
13.0,-56.73571992,-68.694135195
14.0,-56.598047245000004,-68.60080414
15.0,-56.45987196,-68.50884967
16.0,-56.33211342,-68.42160608
17.0,-56.53401791,-68.57588888000001
18.0,-56.337048945,-68.445926475
19.0,-56.322892975,-68.41764853000001
20.0,-56.43649525,-68.57087577499999
21.0,-57.03630405,-69.084498475
22.0,-56.65300565,-68.89768378
23.0,-56.50344615,-68.75599862
24.0,-56.42084288,-68.71013258
25.0,-56.394321265,-68.650963485
26.0,-56.752560900000006,-68.830459475
27.0,-56.73172475,-68.813541305
28.0,-56.79542059,-68.87313899
29.0,-56.34680753,-68.64508316
30.0,-56.283852015,-68.57523255000001
31.0,-56.385891445,-68.66536385500001
32.0,-56.249137245,-68.585961405
33.0,-56.2966356,-68.613202145
34.0,-56.4070255,-68.69236832
35.0,-56.19593366,-68.55512066
36.0,-56.057117215000005,-68.44964222499999
37.0,-56.112393999999995,-68.491407215
38.0,-56.146028605,-68.501438465
39.0,-55.96294348,-68.40360973
40.0,-55.99404338,-68.42608615
41.0,-56.283321685000004,-68.60091835
42.0,-56.14262151,-68.515180415
43.0,-56.06403573,-68.44696316
44.0,-56.23455405,-68.56849478500001
45.0,-56.12366297,-68.509259735
46.0,-56.131268085,-68.49649898499999
47.0,-56.259225575,-68.583216205
48.0,-56.073771155,-68.464848485
49.0,-56.086635595000004,-68.467441615
50.0,-56.16172136,-68.50793599
51.0,-56.047567060000006,-68.441359135
52.0,-56.0634779,-68.44120108999999
53.0,-56.18830633,-68.52591737
54.0,-56.033670425,-68.41973745000001
55.0,-56.167589395,-68.51074593999999
56.0,-56.108643185000005,-68.46379174
57.0,-56.040745035,-68.41070049000001
58.0,-56.23214347,-68.546333535
59.0,-56.017708925,-68.402607145
60.0,-56.064915049999996,-68.41745942
61.0,-56.149116595,-68.50675404
62.0,-55.905191875,-68.32521954500001
63.0,-56.235954965000005,-68.55400028
64.0,-56.155159405000006,-68.48624960000001
65.0,-56.321344405000005,-68.526163885
66.0,-56.541830665,-68.63979931
67.0,-56.407256215,-68.535918515
68.0,-56.62546114,-68.67438695999999
69.0,-56.37410294,-68.59789254
70.0,-56.03474835,-68.223119255
71.0,-56.340022515,-68.47164061999999
72.0,-56.200780800000004,-68.40919019
73.0,-56.04746585,-68.26769197499999
74.0,-56.660097055,-68.68900172
75.0,-56.48141458,-68.58666561
76.0,-56.411138475,-68.521303615
77.0,-56.540523379999996,-68.66421556
78.0,-56.21989827,-68.38467080999999
79.0,-56.006136825,-68.427751355
80.0,-55.396139745,-68.11002464
81.0,-55.317002,-68.00677129
82.0,-55.618127380000004,-68.19211613499999
83.0,-55.455382185000005,-68.0782741
84.0,-55.68454852,-68.226170085
85.0,-55.656360175,-68.22176492
86.0,-55.49393447,-68.093440775
87.0,-55.73728863,-68.29226321
88.0,-55.567037725,-68.17457437499999
89.0,-55.539754245,-68.14921201
90.0,-55.644779835,-68.244887505
91.0,-55.582732795,-68.19798797000001
92.0,-55.5656146,-68.17631542000001
93.0,-55.716113825,-68.28941799
94.0,-55.61043304499999,-68.190948495
95.0,-55.71041831,-68.271622365
96.0,-56.007230545,-68.48631420999999
97.0,-55.79935232,-68.32831747
98.0,-56.00422537,-68.48130105
99.0,-55.95489341,-68.4667048
100.0,-55.907128209999996,-68.418527765
101.0,-56.10261912,-68.56474809
102.0,-55.914176405,-68.45076513000001
103.0,-55.87912818,-68.41840103
104.0,-55.937115135,-68.443695865
105.0,-55.989919645,-68.46944434
106.0,-56.062793174999996,-68.500899785
107.0,-53.921706740000005,-66.97021545000001
108.0,-53.63564203,-66.42806998500001
109.0,-54.263175770000004,-66.70830425
110.0,-54.34649117,-66.78013329000001
111.0,-54.33236474,-66.73940911
112.0,-54.331344125,-66.74627658
113.0,-54.43274257,-66.84171155
114.0,-54.612334105,-66.95463473999999
115.0,-54.509211565,-66.888732885
116.0,-54.56676113,-66.93700035
117.0,-54.560175075000004,-66.9423668
118.0,-54.483863255,-66.89526236
119.0,-54.58133471,-66.95042887
120.0,-54.62125341,-66.9722878
121.0,-54.462471785000005,-66.88692691
122.0,-54.58172204,-66.95244276
123.0,-54.527407069999995,-66.91920191
124.0,-54.493590845,-66.89692805
125.0,-55.102097369999996,-67.25899691000001
126.0,-55.14960824,-67.340391385
127.0,-55.44157412,-67.524651445
128.0,-55.363890065,-67.526375965
129.0,-55.225332455,-67.3944043
130.0,-55.260297345,-67.44749513
131.0,-55.312409845000005,-67.481414115
132.0,-55.275722395,-67.467275395
133.0,-55.41714277,-67.58039737499999
134.0,-55.41440856,-67.637133395
135.0,-55.36178787,-67.596123695
136.0,-55.605694345,-67.69383558
137.0,-55.58839675,-67.68671282
138.0,-55.35032962,-67.54235634
139.0,-55.50049516999999,-67.62158425499999
140.0,-55.354898905,-67.50697918
141.0,-55.153578035,-67.36453184
142.0,-55.745792775,-67.71843833
143.0,-56.44552443,-68.237996025
144.0,-56.404937935,-68.22347052
145.0,-56.568697365000006,-68.34017747499999
146.0,-56.42938399,-68.25742194
147.0,-56.585301205,-68.36081854
148.0,-56.589077485000004,-68.37159501
149.0,-56.403202719999996,-68.255858155
150.0,-56.260144815000004,-68.164435405
151.0,-56.165324915,-68.07157403
152.0,-56.104177125,-68.02824426000001
153.0,-55.346539635,-67.41581558
154.0,-54.94832448,-67.1127117
155.0,-55.367111730000005,-67.51382261500001
156.0,-55.248329075,-67.396938645
157.0,-55.292529939999994,-67.42575879
158.0,-55.56244238,-67.61261739
159.0,-55.389950375,-67.50591883999999
160.0,-54.865953544999996,-67.14301839000001
161.0,-54.32118732,-66.70260916000001
162.0,-54.812317715,-67.04729731500001
163.0,-54.985520715,-67.173221275
164.0,-54.879023000000004,-67.12219791999999
165.0,-55.122618965,-67.27029382
166.0,-54.88287028,-67.129639575
167.0,-54.776912455,-67.06697088499999
168.0,-54.901641555,-67.14225120500001
169.0,-54.991353114999995,-67.204740585
170.0,-54.8499669,-67.101700755
171.0,-54.72635753,-67.01015428
172.0,-54.9417972,-67.15123121
173.0,-54.591191165,-66.95022779
174.0,-54.252813935000006,-66.617810605
175.0,-54.109186120000004,-66.425710255
176.0,-54.06280118,-66.43179623500001
177.0,-54.00357022,-66.386214085
178.0,-54.02521224,-66.36920532
179.0,-55.649485715,-67.606757335
180.0,-56.62487537,-68.37018597
181.0,-55.91003054,-68.155535595
182.0,-54.94810624,-68.22859041000001
183.0,-55.163075735,-68.32466903
184.0,-54.900999760000005,-68.180669905
185.0,-54.658885185,-68.005816175
186.0,-54.67345896,-68.04558606500001
187.0,-54.63645685,-68.008801105
188.0,-54.664211019999996,-68.02235396
189.0,-54.73177741,-68.05482022000001
190.0,-54.61385097,-67.98684101
191.0,-54.61558051,-67.98612484
192.0,-54.711146275000004,-68.02747725
193.0,-54.582974140000005,-67.959872175
194.0,-54.55429585,-67.93607843999999
195.0,-54.72156763,-68.02536670500001
196.0,-54.57388263,-67.93172754
197.0,-54.54079577500001,-67.915275995
198.0,-54.58337061,-67.93656536
199.0,-54.68049535,-67.99494085
200.0,-54.547729955,-67.922581445
201.0,-54.54446262,-67.92246705
202.0,-54.70345105,-68.028075695
203.0,-53.79209219,-67.38526329999999
204.0,-51.74986979,-64.97387413
205.0,-54.00178647,-65.99467409
