Time (s),Tilt up/down (deg),Tilt left/right (deg)
0.0,109.4067061,-107.1749816
1.0,113.74669665,-109.7235598
2.0,138.007916,-129.9381597
3.0,145.440541,-135.15158359999998
4.0,144.8565318,-129.37330079999998
5.0,148.7682053,-123.9177411
6.0,148.35316625000002,-123.70265595000001
7.0,148.3364287,-123.5582165
8.0,146.71355119999998,-122.11374430000001
9.0,145.6804524,-121.34777875
10.0,146.44336005,-120.9007661
11.0,146.3859,-120.74491805
12.0,146.7463726,-120.73372485
13.0,146.7357199,-120.73267575
14.0,146.59804724999998,-120.7218482
15.0,146.45987195,-120.7085847
16.0,146.3321134,-120.6990711
17.0,146.53401795000002,-120.69286855
18.0,146.33704895,-120.6725625
19.0,146.32289294999998,-120.69536475
20.0,146.43649525,-120.6064431
21.0,147.03630405,-120.51136245000001
22.0,146.65300565,-120.38943850000001
23.0,146.50344615,-120.43109355
24.0,146.4208429,-120.4120257
25.0,146.39432125000002,-120.46316795
26.0,146.7525609,-120.5716108
27.0,146.73172475,-120.57374935
28.0,146.7954206,-120.55776395
29.0,146.34680755,-120.42564625
30.0,146.283852,-120.4560138
31.0,146.38589145,-120.43664305
32.0,146.2491372,-120.40939535
33.0,146.29663555,-120.4193041
34.0,146.4070255,-120.4218529
35.0,146.19593365,-120.39870604999999
36.0,146.0571172,-120.40282965
37.0,146.112394,-120.40151900000001
38.0,146.14602860000002,-120.42044204999999
39.0,145.9629435,-120.37292145
40.0,145.99404335,-120.37351425
41.0,146.2833217,-120.42250525
42.0,146.1426215,-120.3995979
43.0,146.06403575000002,-120.41276404999999
44.0,146.23455404999999,-120.4180551
45.0,146.12366300000002,-120.38931170000001
46.0,146.13126805000002,-120.41281745
47.0,146.25922555,-120.42243619999999
48.0,146.07377115,-120.3990931
49.0,146.0866356,-120.40789375
50.0,146.1617214,-120.4269196
51.0,146.04756705,-120.40440805
52.0,146.0634779,-120.41959865000001
53.0,146.1883063,-120.4289696
54.0,146.0336704,-120.41892770000001
55.0,146.1675894,-120.4288459
56.0,146.10864320000002,-120.43327005
57.0,146.040745,-120.43713315
58.0,146.23214345000002,-120.4441631
59.0,146.0177089,-120.4256908
60.0,146.06491505,-120.45119025
61.0,146.14911654999997,-120.41652725
62.0,145.9051919,-120.41841875
63.0,146.23595495,-120.43794729999999
64.0,146.1551594,-120.44847165
65.0,146.3213444,-120.5546703
66.0,146.54183065,-120.61777839999999
67.0,146.40725625,-120.6236631
68.0,146.6254611,-120.65287144999999
69.0,146.3741029,-120.5123869
70.0,146.03474835,-120.67057489999999
71.0,146.3400225,-120.642145
72.0,146.20078080000002,-120.59035645
73.0,146.04746584999998,-120.62591710000001
74.0,146.66009705,-120.66702115
75.0,146.4814146,-120.6288469
76.0,146.41113845,-120.6460963
77.0,146.54052339999998,-120.58497205
78.0,146.2198983,-120.63977704999999
79.0,146.0061368,-120.382736
80.0,145.39613975,-120.2142298
81.0,145.317002,-120.2703612
82.0,145.6181274,-120.3179566
83.0,145.4553822,-120.3094909
84.0,145.6845485,-120.33696905
85.0,145.65636015,-120.3162442
86.0,145.49393444999998,-120.3263833
87.0,145.7372886,-120.3027015
88.0,145.56703770000001,-120.29232730000001
89.0,145.53975425,-120.29887955
90.0,145.64477985,-120.27618179999999
91.0,145.5827328,-120.27747120000001
92.0,145.5656146,-120.28883995000001
93.0,145.71611385,-120.28651199999999
94.0,145.61043304999998,-120.31224639999999
95.0,145.71041830000001,-120.30364725
96.0,146.00723055,-120.3090428
97.0,145.79935235,-120.3151
98.0,146.0042254,-120.3126183
99.0,145.9548934,-120.28481915
100.0,145.9071282,-120.3014159
101.0,146.1026191,-120.29847269999999
102.0,145.9141764,-120.267016
103.0,145.8791282,-120.2753741
104.0,145.93711515,-120.2975426
105.0,145.9899196,-120.31415989999999
106.0,146.0627932,-120.3425846
107.0,143.92170675,-120.2523756
108.0,143.63564205,-120.6487692
109.0,144.26317575000002,-120.89157125
110.0,144.34649115,-120.88176825
111.0,144.33236475,-120.9181197
112.0,144.33134415,-120.90883305
113.0,144.43274259999998,-120.88707504999999
114.0,144.6123341,-120.91664485
115.0,144.50921155,-120.90097925
116.0,144.56676115,-120.895704
117.0,144.56017505,-120.8829481
118.0,144.48386325,-120.86939770000001
119.0,144.5813347,-120.89286129999999
120.0,144.6212534,-120.9033713
121.0,144.4624718,-120.85964815
122.0,144.581722,-120.89076015
123.0,144.52740705000002,-120.88073865
124.0,144.49359085,-120.87641825
125.0,145.10209735,-121.00082275
126.0,145.1496082,-120.9447562
127.0,145.4415741,-120.9906063
128.0,145.36389005,-120.9151865
129.0,145.22533245,-120.94900245
130.0,145.26029734999997,-120.91587535
131.0,145.3124098,-120.92274615
132.0,145.27572235000002,-120.90579055
133.0,145.41714274999998,-120.8978812
134.0,145.41440855000002,-120.82433075
135.0,145.36178784999998,-120.82614065000001
136.0,145.60569429999998,-120.9337842
137.0,145.5883967,-120.9264569
138.0,145.3503296,-120.88242575000001
139.0,145.50049515,-120.92506130000001
140.0,145.35489890000002,-120.93086535
141.0,145.15357799999998,-120.91860335000001
142.0,145.7457928,-121.0351421
143.0,146.4455244,-121.04310545
144.0,146.4049379,-121.02275
145.0,146.56869734999998,-121.0299962
146.0,146.429384,-121.0027009
147.0,146.5853012,-121.0193686
148.0,146.5890775,-121.0091096
149.0,146.4032027,-120.97961805
150.0,146.26014479999998,-120.9598588
151.0,146.1653249,-120.98780725
152.0,146.10417715,-120.9847314
153.0,145.34653965,-121.03596405
154.0,144.9483245,-121.037182
155.0,145.36711175,-120.93365879999999
156.0,145.24832909999998,-120.96750665
157.0,145.29252995000002,-120.97328475
158.0,145.5624424,-120.9947785
159.0,145.38995035,-120.96525510000001
160.0,144.86595355,-120.9220706
161.0,144.3211873,-120.95232390000001
162.0,144.8123177,-120.9900267
163.0,144.98552075,-120.99747255
164.0,144.87902300000002,-120.9604425
165.0,145.12261895,-121.0063055
166.0,144.88287025,-120.95488900000001
167.0,144.77691245,-120.93274275
168.0,144.90164155,-120.9569113
169.0,144.99135315,-120.9640167
170.0,144.8499669,-120.95842915
171.0,144.7263575,-120.9551939
172.0,144.9417972,-120.9835487
173.0,144.59119115,-120.90209725
174.0,144.25281395,-120.99165475000001
175.0,144.1091861,-121.0900622
176.0,144.0628012,-121.03959425
177.0,144.00357025,-121.03932455
178.0,144.02521224999998,-121.08005895
179.0,145.6494857,-121.08237965000001
180.0,146.62487535,-121.04510295
181.0,145.91003055,-120.63776849999999
182.0,144.94810625000002,-119.65259085
183.0,145.16307575000002,-119.7292598
184.0,144.90099975,-119.6691711
185.0,144.6588852,-119.66553225
186.0,144.67345895,-119.62952365
187.0,144.63645685,-119.6413982
188.0,144.66421105,-119.6499085
189.0,144.7317774,-119.6712592
190.0,144.613851,-119.64799024999999
191.0,144.61558050000002,-119.65044815
192.0,144.7111463,-119.6863499
193.0,144.5829741,-119.65322739999999
194.0,144.55429585000002,-119.65652184999999
195.0,144.72156765,-119.69846355
196.0,144.5738826,-119.6797291
197.0,144.54079575,-119.66992175
198.0,144.58337060000002,-119.68239704999999
199.0,144.68049535,-119.69871090000001
200.0,144.54772995,-119.66721385
201.0,144.5444626,-119.66438070000001
202.0,144.70345105,-119.6785199
203.0,143.7920922,-119.6358893
204.0,141.74986975000002,-120.63561565
205.0,144.0017865,-121.5082228
206.0,145.25375524999998,-121.34728995
207.0,145.3806595,-121.3758334
208.0,145.85412565000001,-121.5909431
209.0,145.43525535,-121.745392
210.0,146.75364754999998,-121.58219595
211.0,146.96758699999998,-120.9273905
212.0,145.7748519,-119.5939901
213.0,146.536777,-119.55885649999999
214.0,146.55003440000002,-119.3703393
215.0,146.1610781,-119.31098610000001
216.0,146.33581485000002,-119.36020325000001
217.0,146.2687276,-119.3337593
218.0,146.14881965,-119.30713785
219.0,146.25275979999998,-119.32514065000001
220.0,146.34156015000002,-119.30287695
221.0,146.1310695,-119.26198965
222.0,145.9558339,-119.2451743
223.0,146.29070289999999,-119.2842157
224.0,146.1397912,-119.2526647
225.0,146.1202938,-119.2608599
226.0,146.3709218,-119.30398035
227.0,145.9103804,-119.3595171
228.0,146.13148675000002,-119.43915945
229.0,146.5817375,-119.53000170000001
230.0,145.72620275,-119.5328538
231.0,145.1863926,-119.4891054
232.0,145.71117525,-119.47270714999999
233.0,145.6251202,-119.41175025
234.0,146.19562545000002,-119.5012338
235.0,146.25006954999998,-119.43464735
236.0,146.0163365,-119.5308715
237.0,146.40405149999998,-119.40762620000001
238.0,146.1670072,-119.24453975
239.0,145.89550079999998,-119.31485359999999
240.0,146.1006332,-119.442152
241.0,146.29246584999999,-119.53480985
242.0,146.25819645,-119.78011570000001
243.0,146.67845565,-120.54811905
244.0,146.34270479999998,-120.4348313
245.0,146.71068730000002,-120.47326465
246.0,146.6908258,-120.44712240000001
247.0,146.7767113,-120.4740787
248.0,146.83923,-120.4583523
249.0,146.71205625,-120.42676495
250.0,146.94524715,-120.5003336
251.0,146.80215215,-120.4427978
252.0,146.77465610000002,-120.42198105
253.0,147.04219355,-120.5388336
254.0,146.86016024999998,-120.44655965000001
255.0,146.75455920000002,-120.41570164999999
256.0,147.00611775,-120.4918836
257.0,146.7044971,-120.379745
258.0,146.64169594999998,-120.37744205
259.0,146.96491939999999,-120.50633285
260.0,146.8302649,-120.72086285
261.0,146.6749131,-120.66811385
262.0,146.87884785,-120.7183968
263.0,146.5813573,-120.63553089999999
264.0,146.45689505,-120.6546979
265.0,146.65625119999999,-120.66814819999999
266.0,146.54243194999998,-120.4647291
267.0,146.56155,-120.43830695
268.0,146.7172633,-120.48522349999999
269.0,146.4901694,-120.45035155
270.0,146.441214,-120.44053115
271.0,146.6555702,-120.5245854
272.0,146.45083060000002,-120.48772224999999
273.0,146.5749726,-120.6314536
274.0,147.3197638,-120.7920222
275.0,147.06814809999997,-120.68511054999999
276.0,147.02547035,-120.70659520000001
277.0,147.2021044,-120.73266774999999
278.0,147.04152895,-120.68872655
279.0,147.17418830000003,-120.71151315
280.0,147.1144187,-120.7098905
281.0,146.9801048,-120.6901058
282.0,147.21266355,-120.74880485
283.0,147.0550996,-120.67496249999999
284.0,147.03719425,-120.68632165
285.0,147.22822115,-120.73162439999999
286.0,147.0126129,-120.6971611
287.0,147.0793103,-120.7125067
288.0,147.13840935000002,-120.7137024
289.0,146.95011275,-120.6791271
290.0,147.1935509,-120.7298706
291.0,147.0868967,-120.6973025
292.0,147.0474903,-120.68100609999999
293.0,147.2580132,-120.7275746
294.0,147.04050065,-120.67594944999999
295.0,147.202201,-120.72362820000001
296.0,147.2163096,-120.70245059999999
297.0,147.38794215000001,-120.7361338
298.0,147.56050985000002,-120.72008745
299.0,147.37715409999998,-120.73462645000001
300.0,146.8388265,-120.6228731
301.0,146.75125115,-120.59525640000001
302.0,147.0789388,-120.6709501
303.0,147.1734167,-120.69637695
304.0,147.04104595,-120.65850845
305.0,147.07158495,-120.65702519999999
306.0,147.3541132,-120.6678289
307.0,147.1853693,-120.63318910000001
308.0,147.1786284,-120.614176
309.0,147.43391685,-120.67683055
310.0,148.04453139999998,-120.74669745
311.0,147.24610295,-120.66616644999999
312.0,147.28582104999998,-120.6871278
313.0,147.11568110000002,-120.64594235
