"t (s)","Inclination (deg)","Rotation (deg)"
6.449116250E-1,5.002989794E1,-1.071749816E2
1.152312000E0,4.768915639E1,-1.073960076E2
1.659711000E0,5.622876036E1,-1.120511120E2
2.167110125E0,5.613794211E1,-1.251344436E2
2.674510125E0,6.409686639E1,-1.347418758E2
3.181910417E0,6.489906285E1,-1.359039971E2
3.689309417E0,6.305184376E1,-1.343991701E2
4.196709625E0,6.306544700E1,-1.302350922E2
4.704109625E0,6.866566986E1,-1.285115094E2
5.211510000E0,7.154061124E1,-1.240969018E2
5.718910000E0,7.107239509E1,-1.237385804E2
6.226309417E0,7.112861211E1,-1.237166234E2
6.733710417E0,7.111085543E1,-1.236886885E2
7.241110292E0,7.107130566E1,-1.236161160E2
7.748510292E0,7.127777686E1,-1.235003170E2
8.255911917E0,7.098225838E1,-1.228682731E2
8.763311917E0,7.055465659E1,-1.213592155E2
9.270712417E0,7.038899430E1,-1.215403662E2
9.778112417E0,7.050787512E1,-1.211551913E2
1.028551392E1,7.121592399E1,-1.208528780E2
1.079291392E1,7.116191734E1,-1.209486542E2
1.130031437E1,7.103042100E1,-1.207805487E2
1.180771537E1,7.142960872E1,-1.207092874E2
1.231511612E1,7.153605415E1,-1.206966255E2
1.282251612E1,7.141135847E1,-1.207708242E2
1.332991750E1,7.146117032E1,-1.207256758E2
1.383731850E1,7.147341663E1,-1.207396757E2
1.434471987E1,7.137839464E1,-1.207195306E2
1.485212087E1,7.138609667E1,-1.207241658E2
1.535952162E1,7.133895787E1,-1.206991270E2
1.586692262E1,7.125693419E1,-1.207180424E2
1.637432450E1,7.114361644E1,-1.206835767E2
1.688172550E1,7.129331208E1,-1.207145655E2
1.738912767E1,7.140922936E1,-1.207029709E2
1.789652867E1,7.130043646E1,-1.206827662E2
1.840392950E1,7.126668571E1,-1.206555386E2
1.891133050E1,7.120405488E1,-1.206895864E2
1.941873250E1,7.116240462E1,-1.207126024E2
1.992613350E1,7.126616966E1,-1.206781271E2
2.043353575E1,7.131465361E1,-1.206448935E2
2.094093675E1,7.135507592E1,-1.205679927E2
2.144833825E1,7.179926400E1,-1.205349059E2
2.195574025E1,7.175217693E1,-1.204878190E2
2.246314100E1,7.162328272E1,-1.203576072E2
2.297054354E1,7.155232366E1,-1.204212698E2
2.347794554E1,7.148597655E1,-1.204299783E2
2.398534800E1,7.145146578E1,-1.204322088E2
2.449275000E1,7.142441195E1,-1.204120257E2
2.550755337E1,7.141452514E1,-1.204454179E2
2.601495525E1,7.134686091E1,-1.204809180E2
2.652235725E1,7.161495903E1,-1.205316989E2
2.702975962E1,7.150509220E1,-1.206115227E2
2.753716162E1,7.150534883E1,-1.205972958E2
2.804456400E1,7.158528746E1,-1.205502029E2
2.855196600E1,7.170867251E1,-1.207178376E2
2.905936825E1,7.148239172E1,-1.203976903E2
2.956677025E1,7.143627484E1,-1.203905577E2
3.007417367E1,7.130128851E1,-1.204607348E2
3.058157567E1,7.129359225E1,-1.204641239E2
3.108897862E1,7.133006012E1,-1.204479037E2
3.159638062E1,7.142100257E1,-1.204463533E2
3.210378275E1,7.135663665E1,-1.204269328E2
3.261118475E1,7.134186331E1,-1.204054281E2
3.311858892E1,7.128431870E1,-1.204133626E2
3.362599192E1,7.132560969E1,-1.204281778E2
3.413339375E1,7.135274794E1,-1.204104304E2
3.464079675E1,7.141029920E1,-1.204218529E2
3.514819875E1,7.133039629E1,-1.203974057E2
3.565560175E1,7.123688787E1,-1.204000064E2
3.616300554E1,7.120161267E1,-1.204041855E2
3.667040854E1,7.117871925E1,-1.204014738E2
3.717781067E1,7.118107554E1,-1.203922207E2
3.768521367E1,7.127339258E1,-1.204108173E2
3.819261863E1,7.128542159E1,-1.204483709E2
3.870002162E1,7.119372549E1,-1.203925132E2
3.920742337E1,7.114369638E1,-1.203776802E2
3.971482638E1,7.114365628E1,-1.203681627E2
4.022222929E1,7.115859849E1,-1.203724164E2
4.072963229E1,7.116913932E1,-1.203746121E2
4.123703562E1,7.130814890E1,-1.204192384E2
4.174443963E1,7.134941081E1,-1.204257721E2
4.225184225E1,7.129267625E1,-1.204084557E2
4.275924525E1,7.120357590E1,-1.203907401E2
4.326664967E1,7.120929961E1,-1.204005244E2
4.377405267E1,7.116980892E1,-1.204250037E2
