"t (s)","Tilt up/down (deg)","Tilt left/right (deg)"
6.449116250E-1,-1.628250184E2,1.387384425E2
1.152312000E0,-1.626039924E2,1.363513792E2
1.659711000E0,-1.579488880E2,1.441898280E2
2.167110125E0,-1.448655564E2,1.406309877E2
2.674510125E0,-1.352581242E2,1.456385112E2
3.181910417E0,-1.340960029E2,1.460515937E2
3.689309417E0,-1.356008299E2,1.445664616E2
4.196709625E0,-1.397649078E2,1.463539254E2
4.704109625E0,-1.414884906E2,1.534740587E2
5.211510000E0,-1.459030981E2,1.580453975E2
5.718910000E0,-1.462614195E2,1.575904473E2
6.226309417E0,-1.462833766E2,1.576601816E2
6.733710417E0,-1.463113114E2,1.576463397E2
7.241110292E0,-1.463838840E2,1.576179427E2
7.748510292E0,-1.464996830E2,1.578817758E2
8.255911917E0,-1.471317269E2,1.576884679E2
8.763311917E0,-1.486407845E2,1.575378363E2
9.270712417E0,-1.484596338E2,1.573121648E2
9.778112417E0,-1.488448087E2,1.575289959E2
1.028551392E1,-1.491471220E2,1.583873872E2
1.079291392E1,-1.490513458E2,1.583070482E2
1.130031437E1,-1.492194513E2,1.581939710E2
1.180771537E1,-1.492907126E2,1.586565195E2
1.231511612E1,-1.493033745E2,1.587786094E2
1.282251612E1,-1.492291758E2,1.586236082E2
1.332991750E1,-1.492743241E2,1.586886660E2
1.383731850E1,-1.492603243E2,1.586996044E2
1.434471987E1,-1.492804694E2,1.585969480E2
1.485212087E1,-1.492758342E2,1.586046603E2
1.535952162E1,-1.493008730E2,1.585567956E2
1.586692262E1,-1.492819576E2,1.584609037E2
1.637432450E1,-1.493164233E2,1.583407745E2
1.688172550E1,-1.492854345E2,1.585024376E2
1.738912767E1,-1.492970290E2,1.586349087E2
1.789652867E1,-1.493172338E2,1.585168690E2
1.840392950E1,-1.493444614E2,1.584845069E2
1.891133050E1,-1.493104135E2,1.584073460E2
1.941873250E1,-1.492873976E2,1.583559397E2
1.992613350E1,-1.493218729E2,1.584793574E2
2.043353575E1,-1.493551065E2,1.585404701E2
2.094093675E1,-1.494320073E2,1.586012814E2
2.144833825E1,-1.494650941E2,1.591063017E2
2.195574025E1,-1.495121809E2,1.590626952E2
2.246314100E1,-1.496423928E2,1.589437202E2
2.297054354E1,-1.495787302E2,1.588516474E2
2.347794554E1,-1.495700217E2,1.587755581E2
2.398534800E1,-1.495677912E2,1.587364391E2
2.449275000E1,-1.495879743E2,1.587101326E2
2.550755337E1,-1.495545821E2,1.586924168E2
2.601495525E1,-1.495190820E2,1.586095102E2
2.652235725E1,-1.494683010E2,1.589000491E2
2.702975962E1,-1.493884773E2,1.587608699E2
2.753716162E1,-1.494027042E2,1.587639991E2
2.804456400E1,-1.494497971E2,1.588630835E2
2.855196600E1,-1.492821624E2,1.589683411E2
2.905936825E1,-1.496023097E2,1.587779368E2
2.956677025E1,-1.496094423E2,1.587276825E2
3.007417367E1,-1.495392651E2,1.585624838E2
3.058157567E1,-1.495358761E2,1.585531835E2
3.108897862E1,-1.495520963E2,1.585972816E2
3.159638062E1,-1.495536467E2,1.586994895E2
3.210378275E1,-1.495730672E2,1.586312382E2
3.261118475E1,-1.495945719E2,1.586189753E2
3.311858892E1,-1.495866374E2,1.585529475E2
3.362599192E1,-1.495718222E2,1.585962343E2
3.413339375E1,-1.495895696E2,1.586301700E2
3.464079675E1,-1.495781471E2,1.586923683E2
3.514819875E1,-1.496025942E2,1.586077312E2
3.565560175E1,-1.495999936E2,1.585025101E2
3.616300554E1,-1.495958145E2,1.584621835E2
3.667040854E1,-1.495985262E2,1.584371009E2
3.717781067E1,-1.496077793E2,1.584415934E2
3.768521367E1,-1.495891827E2,1.585412210E2
3.819261863E1,-1.495516291E2,1.585471834E2
3.870002162E1,-1.496074868E2,1.584556935E2
3.920742337E1,-1.496223198E2,1.584026777E2
3.971482638E1,-1.496318373E2,1.584045417E2
4.022222929E1,-1.496275836E2,1.584204085E2
4.072963229E1,-1.496253879E2,1.584317638E2
4.123703562E1,-1.495807616E2,1.585784616E2
4.174443963E1,-1.495742279E2,1.586233751E2
4.225184225E1,-1.495915443E2,1.585632865E2
4.275924525E1,-1.496092599E2,1.584670743E2
4.326664967E1,-1.495994756E2,1.584715219E2
4.377405267E1,-1.495749963E2,1.584224044E2
4.428145654E1,-1.495822538E2,1.585569782E2
4.478885954E1,-1.495816360E2,1.585800113E2
4.529626304E1,-1.496143934E2,1.585238910E2
4.580366604E1,-1.496069832E2,1.584946285E2
4.631107029E1,-1.495894435E2,1.584717542E2
4.681847329E1,-1.495849216E2,1.585212437E2
4.732587762E1,-1.495866006E2,1.586325187E2
4.783328163E1,-1.495685268E2,1.585339137E2
4.834068512E1,-1.496102552E2,1.584695514E2
4.884808812E1,-1.495915586E2,1.584601456E2
4.935549237E1,-1.495913082E2,1.584386608E2
4.986289638E1,-1.495929042E2,1.584962224E2
5.087770450E1,-1.495730804E2,1.585079360E2
5.138510854E1,-1.496022285E2,1.584598143E2
5.189251254E1,-1.495889552E2,1.584229039E2
5.239991625E1,-1.495931593E2,1.583933429E2
5.290732025E1,-1.495676434E2,1.584890593E2
5.341472400E1,-1.495607521E2,1.585713313E2
5.392212800E1,-1.495813087E2,1.584805034E2
5.442953275E1,-1.496024731E2,1.584353318E2
5.493693775E1,-1.495596715E2,1.584041431E2
5.544434112E1,-1.495757415E2,1.584707992E2
5.595174512E1,-1.495665666E2,1.585506926E2
5.645914925E1,-1.495763270E2,1.585280591E2
5.696655425E1,-1.495571329E2,1.583995244E2
5.747395825E1,-1.495618920E2,1.584076489E2
5.798136225E1,-1.495638417E2,1.584137521E2
5.848876775E1,-1.495798449E2,1.586057636E2
5.899617175E1,-1.495318288E2,1.584869035E2
5.950357612E1,-1.495972134E2,1.584642291E2
6.001098050E1,-1.495514050E2,1.583409852E2
6.051838550E1,-1.495395148E2,1.583289295E2
6.102579004E1,-1.495581047E2,1.585059893E2
6.153319404E1,-1.495649903E2,1.585602216E2
6.204059954E1,-1.496019552E2,1.584532864E2
6.254800454E1,-1.495980762E2,1.583462676E2
6.305540950E1,-1.495650863E2,1.583041715E2
6.356281350E1,-1.495730829E2,1.584846175E2
6.407021863E1,-1.495510225E2,1.586233831E2
6.457762362E1,-1.495624717E2,1.585275417E2
6.508502892E1,-1.495405850E2,1.584449575E2
6.559243392E1,-1.495057465E2,1.584287179E2
6.609983812E1,-1.493849129E2,1.586236099E2
6.660724312E1,-1.493534030E2,1.587297728E2
6.711464813E1,-1.494110402E2,1.585498258E2
6.762205313E1,-1.494593101E2,1.585878140E2
6.812945875E1,-1.492933636E2,1.584840230E2
6.863686375E1,-1.493914481E2,1.585964390E2
6.914427000E1,-1.493028089E2,1.587523349E2
6.965167500E1,-1.494876131E2,1.585978925E2
7.015908000E1,-1.493529778E2,1.582896766E2
7.066648500E1,-1.493058724E2,1.581565619E2
7.117388963E1,-1.493289385E2,1.583438120E2
7.168129562E1,-1.493867715E2,1.585994692E2
7.218869975E1,-1.493716169E2,1.584658784E2
7.269610475E1,-1.494476702E2,1.583525019E2
7.320351188E1,-1.493389742E2,1.582664186E2
7.371091687E1,-1.494091916E2,1.582689654E2
7.421832250E1,-1.492719359E2,1.586677559E2
7.472572750E1,-1.493940218E2,1.587102476E2
7.523313388E1,-1.493711531E2,1.585866656E2
7.624794454E1,-1.493445853E2,1.584502663E2
7.675534954E1,-1.493632221E2,1.585923410E2
7.726275542E1,-1.494363067E2,1.587080743E2
7.777016142E1,-1.493937492E2,1.586203568E2
7.827756625E1,-1.493771686E2,1.584530181E2
7.878497225E1,-1.493432773E2,1.583163235E2
7.929237838E1,-1.495895067E2,1.583823508E2
7.979978438E1,-1.496450213E2,1.584731519E2
8.030718954E1,-1.498275586E2,1.582057579E2
8.081459554E1,-1.497439818E2,1.580142914E2
8.132200142E1,-1.497178402E2,1.579771685E2
8.182940742E1,-1.497414374E2,1.580363740E2
8.233681350E1,-1.496944263E2,1.582145884E2
8.284421950E1,-1.496696605E2,1.581696439E2
8.335162512E1,-1.496958885E2,1.580910886E2
8.385903112E1,-1.496851297E2,1.580654596E2
8.436643688E1,-1.496607214E2,1.581440823E2
8.487384288E1,-1.496653404E2,1.583082579E2
8.538124917E1,-1.496778990E2,1.582223808E2
8.588865517E1,-1.496896125E2,1.582211490E2
8.639606200E1,-1.496780659E2,1.580970488E2
8.690346900E1,-1.496691675E2,1.580898327E2
8.741087437E1,-1.496964931E2,1.582579064E2
8.791828038E1,-1.496981039E2,1.583266200E2
8.842568792E1,-1.497180241E2,1.582313914E2
8.893309392E1,-1.496973213E2,1.581177573E2
8.944049962E1,-1.497004287E2,1.581194344E2
8.994790662E1,-1.497018122E2,1.581789896E2
9.045531204E1,-1.497024336E2,1.582585915E2
9.096271804E1,-1.497452028E2,1.582311835E2
9.147012579E1,-1.497299050E2,1.582136277E2
9.197753179E1,-1.497151526E2,1.581823482E2
9.248493867E1,-1.496814733E2,1.581497504E2
9.299234467E1,-1.497408468E2,1.582028805E2
9.349975167E1,-1.496936238E2,1.583116149E2
9.400715767E1,-1.497333521E2,1.582672210E2
9.451456437E1,-1.496893909E2,1.581868484E2
9.502197037E1,-1.496861162E2,1.581950486E2
9.552937687E1,-1.496938320E2,1.581948559E2
9.603678387E1,-1.496988735E2,1.583483888E2
9.654419087E1,-1.496815970E2,1.585021531E2
9.705159800E1,-1.497003174E2,1.584704753E2
9.755900400E1,-1.496858946E2,1.583616890E2
9.806641038E1,-1.496839054E2,1.582949460E2
9.857381737E1,-1.496873817E2,1.584813010E2
9.958863012E1,-1.497487467E2,1.585386668E2
1.000960376E2,-1.496816150E2,1.583947428E2
1.006034446E2,-1.496812637E2,1.583557616E2
1.011108528E2,-1.497159045E2,1.584812939E2
1.016182588E2,-1.496667809E2,1.585675719E2
1.021256640E2,-1.497362736E2,1.585619242E2
1.026330710E2,-1.497473212E2,1.584689884E2
1.031404784E2,-1.497186468E2,1.584325419E2
1.036478854E2,-1.497246259E2,1.584184010E2
1.041552919E2,-1.497194964E2,1.584707940E2
1.046626989E2,-1.496854184E2,1.584165977E2
1.051701067E2,-1.496853999E2,1.583563911E2
1.056775147E2,-1.496862803E2,1.585824976E2
1.061849217E2,-1.497011134E2,1.585699607E2
1.066923297E2,-1.496137173E2,1.584318388E2
1.071997376E2,-1.498387055E2,1.577143468E2
1.077071466E2,-1.496565432E2,1.562260841E2
1.082145544E2,-1.494566895E2,1.560822444E2
1.087219634E2,-1.492457721E2,1.567738955E2
1.092293726E2,-1.491519972E2,1.567038650E2
1.097367816E2,-1.490648602E2,1.567127435E2
1.102441923E2,-1.491002142E2,1.567738128E2
1.107516023E2,-1.491362493E2,1.567864538E2
1.112590110E2,-1.490714723E2,1.567535910E2
1.117664210E2,-1.490922883E2,1.567252272E2
1.122738322E2,-1.491146017E2,1.567129714E2
1.127812433E2,-1.490677322E2,1.567795817E2
1.132886544E2,-1.491201165E2,1.568049303E2
1.137960654E2,-1.491057334E2,1.568784928E2
1.143034784E2,-1.490657898E2,1.570001994E2
1.148108904E2,-1.491009205E2,1.569090700E2
1.153183015E2,-1.490933812E2,1.568678310E2
1.158257135E2,-1.491046603E2,1.569096348E2
1.163331269E2,-1.491309960E2,1.569123065E2
1.168405399E2,-1.490775960E2,1.569616942E2
1.173479527E2,-1.491105311E2,1.570074572E2
1.178553657E2,-1.491235727E2,1.568772764E2
1.183627782E2,-1.491268390E2,1.568930031E2
1.188701922E2,-1.491343656E2,1.568975216E2
1.193776060E2,-1.491280414E2,1.569011970E2
1.198850200E2,-1.490862360E2,1.569996608E2
1.203924338E2,-1.490966287E2,1.569722878E2
