"t (s)","Tilt up/down (deg)","Tilt left/right (deg)"
6.449116250E-1,1.094067061E2,-1.071749816E2
1.152312000E0,1.081824335E2,-1.073960076E2
1.659711000E0,1.193109598E2,-1.120511120E2
2.167110125E0,1.306182445E2,-1.251344436E2
2.674510125E0,1.453975875E2,-1.347418758E2
3.181910417E0,1.468842209E2,-1.359039971E2
3.689309417E0,1.439968611E2,-1.343991701E2
4.196709625E0,1.418112688E2,-1.302350922E2
4.704109625E0,1.479017948E2,-1.285115094E2
5.211510000E0,1.492282012E2,-1.240969018E2
5.718910000E0,1.483082094E2,-1.237385804E2
6.226309417E0,1.483754717E2,-1.237166234E2
6.733710417E0,1.483308608E2,-1.236886885E2
7.241110292E0,1.482244066E2,-1.236161160E2
7.748510292E0,1.484484508E2,-1.235003170E2
8.255911917E0,1.475804262E2,-1.228682731E2
8.763311917E0,1.458466762E2,-1.213592155E2
9.270712417E0,1.457399047E2,-1.215403662E2
9.778112417E0,1.456210001E2,-1.211551913E2
1.028551392E1,1.464472558E2,-1.208528780E2
1.079291392E1,1.464394643E2,-1.209486542E2
1.130031437E1,1.461114732E2,-1.207805487E2
1.180771537E1,1.466603268E2,-1.207092874E2
1.231511612E1,1.468126564E2,-1.206966255E2
1.282251612E1,1.466800888E2,-1.207708242E2
1.332991750E1,1.467210015E2,-1.207256758E2
1.383731850E1,1.467504383E2,-1.207396757E2
1.434471987E1,1.465904051E2,-1.207195306E2
1.485212087E1,1.466056894E2,-1.207241658E2
1.535952162E1,1.465147253E2,-1.206991270E2
1.586692262E1,1.464050186E2,-1.207180424E2
1.637432450E1,1.462067786E2,-1.206835767E2
1.688172550E1,1.464574482E2,-1.207145655E2
1.738912767E1,1.466244527E2,-1.207029709E2
1.789652867E1,1.464435832E2,-1.206827662E2
1.840392950E1,1.463712406E2,-1.206555386E2
1.891133050E1,1.463028573E2,-1.206895864E2
1.941873250E1,1.462577638E2,-1.207126024E2
1.992613350E1,1.463880221E2,-1.206781271E2
2.043353575E1,1.464357309E2,-1.206448935E2
2.094093675E1,1.464372596E2,-1.205679927E2
2.144833825E1,1.470907244E2,-1.205349059E2
2.195574025E1,1.469818837E2,-1.204878190E2
2.246314100E1,1.466824463E2,-1.203576072E2
2.297054354E1,1.466235650E2,-1.204212698E2
2.347794554E1,1.465289258E2,-1.204299783E2
2.398534800E1,1.464779665E2,-1.204322088E2
2.449275000E1,1.464208429E2,-1.204120257E2
2.550755337E1,1.464319542E2,-1.204454179E2
2.601495525E1,1.463566883E2,-1.204809180E2
2.652235725E1,1.468055215E2,-1.205316989E2
2.702975962E1,1.466996003E2,-1.206115227E2
2.753716162E1,1.466889539E2,-1.205972958E2
2.804456400E1,1.467744956E2,-1.205502029E2
2.855196600E1,1.470927037E2,-1.207178376E2
2.905936825E1,1.464981375E2,-1.203976903E2
2.956677025E1,1.464220905E2,-1.203905577E2
3.007417367E1,1.462715246E2,-1.204607348E2
3.058157567E1,1.462624831E2,-1.204641239E2
3.108897862E1,1.463052209E2,-1.204479037E2
3.159638062E1,1.464425665E2,-1.204463533E2
3.210378275E1,1.463292164E2,-1.204269328E2
3.261118475E1,1.462898070E2,-1.204054281E2
3.311858892E1,1.462084674E2,-1.204133626E2
3.362599192E1,1.462829492E2,-1.204281778E2
3.413339375E1,1.463103219E2,-1.204104304E2
3.464079675E1,1.464070255E2,-1.204218529E2
3.514819875E1,1.462660292E2,-1.203974057E2
3.565560175E1,1.461258381E2,-1.204000064E2
3.616300554E1,1.460755603E2,-1.204041855E2
3.667040854E1,1.460386741E2,-1.204014738E2
3.717781067E1,1.460349410E2,-1.203922207E2
3.768521367E1,1.461898470E2,-1.204108173E2
3.819261863E1,1.462376853E2,-1.204483709E2
3.870002162E1,1.460543719E2,-1.203925132E2
3.920742337E1,1.459667402E2,-1.203776802E2
3.971482638E1,1.459591468E2,-1.203681627E2
4.022222929E1,1.459851783E2,-1.203724164E2
4.072963229E1,1.460029084E2,-1.203746121E2
4.123703562E1,1.462493452E2,-1.204192384E2
4.174443963E1,1.463172982E2,-1.204257721E2
4.225184225E1,1.462173164E2,-1.204084557E2
4.275924525E1,1.460679266E2,-1.203907401E2
4.326664967E1,1.460843419E2,-1.204005244E2
